"state_county_fips","Unemployed_2014"
18055,"1,100"
18057,"6,577"
18059,"1,902"
18061,"1,083"
18063,"3,753"
18065,"1,480"
18067,"2,360"
18069,"1,084"
18071,"1,077"
18073,"1,099"
18075,"592"
18077,"917"
18079,"892"
18081,"3,790"
18083,"1,000"
18085,"1,989"
18087,"826"
18089,"18,636"
18091,"3,779"
18093,"1,677"
18095,"4,193"
18097,"30,362"
18099,"1,323"
18101,"266"
18103,"1,068"
18105,"3,907"
18107,"1,032"
18109,"2,065"
18111,"486"
18113,"1,225"
18115,"222"
18117,"660"
18119,"776"
18121,"486"
18123,"543"
18125,"329"
18127,"5,318"
18129,"643"
18131,"338"
18133,"1,070"
18135,"825"
18137,"915"
18139,"477"
18141,"8,647"
18143,"695"
18145,"1,279"
18147,"568"
18149,"761"
18151,"1,006"
18153,"642"
18155,"283"
18157,"4,650"
18159,"445"
18161,"202"
18163,"5,051"
18165,"635"
18167,"3,845"
18169,"871"
18171,"250"
18173,"1,553"
18175,"889"
18177,"2,067"
18179,"676"
18181,"700"
18183,"886"
19000,"75,249"
19001,"175"
19003,"78"
19005,"457"
19007,"368"
19009,"148"
19011,"666"
19013,"3,698"
19015,"537"
19017,"544"
19019,"556"
19021,"476"
19023,"372"
19025,"225"
19027,"372"
19029,"336"
19031,"440"
19033,"1,131"
19035,"356"
19037,"322"
19039,"221"
19041,"388"
19043,"531"
19045,"1,363"
19047,"373"
19049,"1,436"
19051,"220"
19053,"174"
19055,"418"
19057,"1,089"
19059,"474"
19061,"2,387"
19063,"238"
19065,"566"
19067,"398"
19069,"250"
19071,"170"
19073,"221"
19075,"294"
19077,"256"
19079,"339"
19081,"217"
19083,"393"
19085,"318"
19087,"438"
19089,"227"
19091,"209"
19093,"147"
19095,"446"
19097,"582"
19099,"896"
19101,"409"
19103,"2,669"
19105,"560"
19107,"256"
19109,"292"
19111,"1,108"
19113,"5,521"
19115,"280"
19117,"176"
19119,"187"
19121,"389"
19123,"544"
19125,"694"
19127,"1,120"
19129,"338"
19131,"202"
19133,"249"
19135,"215"
19137,"223"
19139,"1,046"
19141,"282"
19143,"120"
19145,"308"
19147,"184"
19149,"526"
19151,"158"
19153,"11,207"
19155,"2,197"
19157,"462"
19159,"102"
19161,"228"
19163,"4,808"
19165,"230"
19167,"616"
19169,"1,669"
19171,"512"
19173,"125"
19175,"336"
19177,"185"
19179,"1,046"
19181,"1,100"
19183,"463"
19185,"151"
19187,"1,003"
19189,"230"
19191,"537"
19193,"2,563"
19195,"198"
19197,"299"
20000,"67,994"
20001,"347"
20003,"216"
20005,"498"
20007,"85"
20009,"553"
20011,"371"
20013,"224"
20015,"1,564"
20017,"50"
20019,"88"
20021,"523"
20023,"41"
20025,"31"
20027,"186"
20029,"186"
20031,"279"
20033,"30"
20035,"805"
