"","state_fips","county_fips","county.name","Dollars","Rank.in.State","Percent.Change","Rank.in.State.1"
"231",8,13,"Boulder","58,627","7",4.6,"33"
"232",8,14,"Broomfield","77,030","2",4.6,"32"
"233",8,15,"Chaffee","35,391","48",5.6,"17"
"234",8,17,"Cheyenne","50,823","14",-7.1,"63"
"235",8,19,"Clear Creek","57,988","8",4.7,"30"
"236",8,21,"Conejos","29,402","61",7.4,"8"
"237",8,23,"Costilla","28,725","63",5.9,"15"
"238",8,25,"Crowley","23,574","64",7,"10"
"239",8,27,"Custer","39,355","35",4.1,"48"
"240",8,29,"Delta","33,937","51",4.1,"47"
"241",8,31,"Denver","62,880","4",4.3,"42"
"242",8,33,"Dolores","41,652","28",44.6,"1"
"243",8,35,"Douglas","60,821","5",4.6,"34"
"244",8,37,"Eagle","57,927","9",4.6,"36"
"245",8,39,"Elbert","47,361","18",5,"24"
"246",8,41,"El Paso","41,945","27",3.5,"52"
"247",8,43,"Fremont","29,266","62",5.3,"19"
"248",8,45,"Garfield","47,429","17",5,"25"
"249",8,47,"Gilpin","44,308","23",2.5,"58"
"250",8,49,"Grand","38,643","38",4.7,"29"
"251",8,51,"Gunnison","38,618","39",4.5,"38"
"252",8,53,"Hinsdale","40,774","31",10,"4"
"253",8,55,"Huerfano","34,598","50",5.7,"16"
"254",8,57,"Jackson","40,638","32",8.6,"6"
"255",8,59,"Jefferson","51,264","13",4.8,"28"
"256",8,61,"Kiowa","52,221","12",-3,"61"
"257",8,63,"Kit Carson","36,626","46",-0.7,"59"
"258",8,65,"Lake","30,177","58",4.7,"31"
"259",8,67,"La Plata","47,784","16",4.4,"40"
"260",8,69,"Larimer","43,584","24",4.2,"45"
"261",8,71,"Las Animas","37,365","43",7.7,"7"
"262",8,73,"Lincoln","33,434","54",12.2,"3"
"263",8,75,"Logan","40,888","30",3,"57"
"264",8,77,"Mesa","38,074","41",4.6,"35"
"265",8,79,"Mineral","52,974","11",7.3,"9"
