"state_county_fips","POP_ESTIMATE_2014"
21231,"20,486"
21233,"13,236"
21235,"35,503"
21237,"7,214"
21239,"25,563"
22000,"4,649,676"
22001,"62,486"
22003,"25,713"
22005,"117,029"
22007,"23,034"
22009,"41,145"
22011,"36,198"
22013,"13,885"
22015,"125,064"
22017,"252,603"
22019,"197,204"
22021,"9,894"
22023,"6,679"
22025,"10,151"
22027,"16,412"
22029,"20,466"
22031,"27,142"
22033,"446,042"
22035,"7,487"
22037,"19,813"
22039,"33,700"
22041,"20,441"
22043,"22,384"
22045,"73,913"
22047,"33,327"
22049,"15,994"
22051,"435,716"
22053,"31,477"
22055,"235,644"
22057,"98,020"
22059,"14,839"
22061,"47,617"
22063,"135,751"
22065,"11,843"
22067,"26,760"
22069,"39,166"
22071,"384,320"
22073,"156,325"
22075,"23,447"
22077,"22,406"
22079,"132,488"
22081,"8,669"
22083,"20,740"
22085,"24,199"
22087,"44,409"
22089,"52,745"
22091,"10,619"
22093,"21,638"
22095,"43,745"
22097,"83,709"
22099,"53,315"
22101,"53,162"
22103,"245,829"
22105,"127,049"
22107,"4,830"
22109,"113,328"
22111,"22,539"
22113,"59,616"
22115,"52,132"
22117,"46,286"
22119,"40,333"
22121,"25,085"
22123,"11,525"
22125,"15,406"
22127,"14,743"
23000,"1,330,089"
23001,"107,440"
23003,"69,447"
23005,"287,797"
23007,"30,296"
23009,"54,696"
23011,"121,112"
23013,"39,676"
23015,"34,170"
23017,"57,238"
23019,"153,414"
23021,"17,026"
23023,"35,045"
23025,"51,163"
23027,"39,051"
23029,"31,808"
23031,"200,710"
24000,"5,976,407"
24001,"72,952"
24003,"560,133"
24005,"826,925"
24009,"90,613"
24011,"32,538"
24013,"167,830"
24015,"102,383"
24017,"154,747"
24019,"32,578"
24021,"243,675"
24023,"29,679"
24025,"250,105"
24027,"309,284"
24029,"19,820"
24031,"1,030,447"
24033,"904,430"
24035,"48,804"
24037,"110,382"
24039,"25,859"
24041,"37,643"
24043,"149,573"
24045,"101,539"
24047,"51,675"
24510,"622,793"
