"state_fips","county_fips","n_storms","total_intensity"
"13","279",8,12
"13","281",1,1
"13","283",6,7
"13","285",17,21
"13","287",6,8
"13","289",10,16
"13","291",3,2
"13","293",6,5
"13","295",11,9
"13","297",8,7
"13","299",13,11
"13","301",4,6
"13","303",8,8
"13","305",12,7
"13","307",2,4
"13","309",6,6
"13","311",4,3
"13","313",5,4
"13","315",6,6
"13","317",5,6
"13","319",2,3
"13","321",25,29
"13","597",1,2
"16","001",12,3
"16","003",3,3
"16","005",7,2
"16","007",2,0
"16","011",16,6
"16","013",7,0
"16","017",4,4
"16","019",4,3
"16","023",6,2
"16","025",4,1
"16","027",6,1
"16","029",2,0
"16","031",8,0
"16","033",8,1
"16","035",1,0
"16","037",2,0
"16","039",3,2
"16","041",3,2
"16","043",3,0
"16","045",2,1
"16","047",6,4
"16","049",2,0
"16","051",16,8
"16","053",5,3
"16","055",2,2
"16","057",4,2
"16","059",3,3
"16","061",1,0
"16","063",4,1
"16","065",6,4
"16","067",6,5
"16","069",3,3
"16","071",3,1
"16","073",3,0
"16","075",2,1
"16","077",17,6
"16","079",1,0
"16","081",1,0
"16","083",11,3
"16","087",3,2
"17","001",30,20
"17","003",15,16
"17","005",15,12
"17","007",8,10
"17","009",6,9
"17","011",28,23
"17","013",9,8
"17","015",16,13
"17","017",6,6
"17","019",60,40
"17","021",28,17
"17","023",8,2
"17","025",12,8
"17","027",15,14
"17","029",30,25
"17","031",46,49
"17","033",15,11
"17","035",11,5
"17","037",13,6
"17","039",17,10
"17","041",22,17
"17","043",21,25
"17","045",27,16
"17","047",5,5
"17","049",19,19
"17","051",18,17
"17","053",26,10
"17","055",11,9
"17","057",33,32
"17","059",7,6
"17","061",15,16
"17","063",13,13
"17","065",8,18
"17","067",23,23
"17","069",4,1
"17","071",12,5
"17","073",36,23
"17","075",37,34
"17","077",29,27
"17","079",14,19
"17","081",26,33
"17","083",14,12
"17","085",15,9
"17","087",11,11
"17","089",23,18
"17","091",39,43
"17","093",13,16
"17","095",24,17
"17","097",13,19
"17","099",36,32
"17","101",6,11
"17","103",22,14
"17","105",36,23
"17","107",54,32
"17","109",24,20
"17","111",16,16
"17","113",97,60
"17","115",56,33
"17","117",32,24
"17","119",53,60
"17","121",22,18
"17","123",8,9
"17","125",29,32
"17","127",9,9
"17","129",7,4
"17","131",30,25
"17","133",31,28
"17","135",30,34
"17","137",26,20
"17","139",8,7
"17","141",20,17
"17","143",25,15
"17","145",12,15
"17","147",25,10
"17","149",28,22
"17","151",9,14
"17","153",7,13
"17","155",7,11
"17","157",39,34
"17","159",8,8
"17","161",17,17
"17","163",39,46
"17","165",11,15
"17","167",69,60
"17","169",16,12
"17","171",6,4
"17","173",28,17
"17","175",10,6
"17","177",13,5
"17","179",48,43
"17","181",17,19
"17","183",52,22
"17","185",15,17
"17","187",21,8
"17","189",28,27
"17","191",20,25
"17","193",16,14
"17","195",20,16
"17","197",52,49
"17","199",8,15
"17","201",12,10
"17","203",36,22
"18","001",15,15
"18","003",25,20
"18","005",17,27
"18","007",17,13
"18","009",3,8
"18","011",27,35
"18","013",5,4
"18","015",10,10
"18","017",17,18
"18","019",20,30
"18","021",9,4
"18","023",13,20
"18","025",4,7
"18","027",15,17
"18","029",10,4
"18","031",17,14
"18","033",11,6
"18","035",17,22
"18","037",22,24
"18","039",26,29
"18","041",6,8
"18","043",6,7
"18","045",7,5
"18","047",6,7
"18","049",9,9
"18","051",15,19
"18","053",20,21
"18","055",12,10
"18","057",21,16
"18","059",14,21
"18","061",17,14
"18","063",22,12
"18","065",18,21
"18","067",15,22
"18","069",18,14
"18","071",16,19
"18","073",21,21
"18","075",9,11
"18","077",12,18
"18","079",9,7
"18","081",13,15
"18","083",22,30
"18","085",24,21
"18","087",10,13
"18","089",28,40
"18","091",23,21
"18","093",17,29
"18","095",18,19
"18","097",39,51
"18","099",24,28
"18","101",5,8
"18","103",12,13
"18","105",15,21
"18","107",19,22
"18","109",18,21
"18","111",16,18
"18","113",10,13
"18","115",1,5
"18","117",15,15
"18","119",12,11
"18","121",10,5
"18","123",10,17
"18","125",23,25
"18","127",20,22
"18","129",13,11
"18","131",15,16
"18","133",18,19
"18","135",16,20
"18","137",16,21
"18","139",11,9
"18","141",23,18
"18","143",7,10
"18","145",24,39
"18","147",8,3
"18","149",14,16
"18","151",12,14
"18","153",10,10
"18","155",7,6
"18","157",46,57
"18","159",12,14
"18","161",1,2
"18","163",21,20
"18","165",12,11
