"state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
4,19,"Arizona","Pima County",3,981935,847455,38357,40536,27703,2123,641722,340213
4,21,"Arizona","Pinal County",3,385738,321892,19119,25509,7444,1814,275579,110159
4,23,"Arizona","Santa Cruz County",3,47384,46012,260,517,323,39,8143,39241
4,25,"Arizona","Yavapai County",3,210517,198658,1426,4125,1873,269,181880,28637
4,27,"Arizona","Yuma County",3,197105,181388,4759,4040,2829,471,79214,117891
5,1,"Arkansas","Arkansas County",3,19009,13938,4693,42,103,2,18485,524
5,3,"Arkansas","Ashley County",3,21835,15760,5670,131,46,16,20770,1065
5,5,"Arkansas","Baxter County",3,41551,40496,70,248,178,18,40863,688
5,7,"Arkansas","Benton County",3,222923,202949,3499,4305,6782,783,188290,34633
5,9,"Arkansas","Boone County",3,36888,35733,88,266,168,21,36208,680
5,11,"Arkansas","Bradley County",3,11489,7934,3210,168,41,1,9985,1504
5,13,"Arkansas","Calhoun County",3,5330,4054,1187,20,11,1,5173,157
5,15,"Arkansas","Carroll County",3,27560,26399,130,282,180,81,24023,3537
5,17,"Arkansas","Chicot County",3,11794,5188,6433,37,57,4,11244,550
5,19,"Arkansas","Clark County",3,22950,16943,5433,128,140,5,22025,925
5,21,"Arkansas","Clay County",3,16057,15754,58,47,24,1,15833,224
5,23,"Arkansas","Cleburne County",3,25989,25340,85,158,55,7,25463,526
5,25,"Arkansas","Cleveland County",3,8690,7535,1063,22,9,1,8539,151
5,27,"Arkansas","Columbia County",3,24729,15031,9200,86,183,6,24177,552
5,29,"Arkansas","Conway County",3,21248,18207,2393,170,84,3,20501,747
5,31,"Arkansas","Craighead County",3,96726,80796,12830,489,1101,43,92434,4292
5,33,"Arkansas","Crawford County",3,61987,57142,809,1498,934,31,58197,3790
5,35,"Arkansas","Crittenden County",3,50954,23776,26229,152,300,17,49935,1019
5,37,"Arkansas","Cross County",3,17841,13577,3971,47,79,3,17570,271
5,39,"Arkansas","Dallas County",3,8061,4541,3385,34,11,1,7874,187
5,41,"Arkansas","Desha County",3,12970,6494,6283,41,44,16,12393,577
5,43,"Arkansas","Drew County",3,18673,13075,5243,57,108,5,18208,465
5,45,"Arkansas","Faulkner County",3,114039,98039,11759,774,1317,63,109577,4462
5,47,"Arkansas","Franklin County",3,18121,17346,138,183,163,24,17743,378
5,49,"Arkansas","Fulton County",3,12212,11863,48,77,26,1,12105,107
5,51,"Arkansas","Garland County",3,96156,84975,7722,661,719,57,91515,4641
5,53,"Arkansas","Grant County",3,17887,17159,405,77,49,5,17489,398
5,55,"Arkansas","Greene County",3,42193,41085,254,215,117,9,41298,895
5,57,"Arkansas","Hempstead County",3,22566,15234,6704,132,100,33,19833,2733
5,59,"Arkansas","Hot Spring County",3,33145,28672,3669,159,105,16,32202,943
5,61,"Arkansas","Howard County",3,13827,10557,2886,115,93,20,12466,1361
5,63,"Arkansas","Independence County",3,36795,34962,754,245,298,69,34655,2140
5,65,"Arkansas","Izard County",3,13681,13194,176,103,42,2,13469,212
5,67,"Arkansas","Jackson County",3,18048,14595,3039,98,59,16,17609,439
5,69,"Arkansas","Jefferson County",3,77311,32856,42739,243,629,13,76074,1237
5,71,"Arkansas","Johnson County",3,25536,24213,446,284,189,27,22415,3121
5,73,"Arkansas","Lafayette County",3,7633,4664,2858,29,26,0,7500,133
5,75,"Arkansas","Lawrence County",3,17499,17076,142,67,26,4,17333,166
5,77,"Arkansas","Lee County",3,10376,4419,5744,50,42,2,10202,174
5,79,"Arkansas","Lincoln County",3,14075,9659,4184,51,38,1,13617,458
5,81,"Arkansas","Little River County",3,13133,10090,2536,207,40,3,12780,353
5,83,"Arkansas","Logan County",3,22319,21028,312,249,361,4,21809,510
5,85,"Arkansas","Lonoke County",3,68701,62468,4116,411,564,61,66397,2304
5,87,"Arkansas","Madison County",3,15692,15103,41,232,86,10,14932,760
5,89,"Arkansas","Marion County",3,16645,16191,35,117,38,8,16346,299
5,91,"Arkansas","Miller County",3,43526,31541,10793,312,208,21,42474,1052
5,93,"Arkansas","Mississippi County",3,46371,29503,15883,177,257,10,44697,1674
5,95,"Arkansas","Monroe County",3,8122,4631,3322,36,38,0,7983,139
5,97,"Arkansas","Montgomery County",3,9485,9097,39,93,56,2,9124,361
5,99,"Arkansas","Nevada County",3,8967,6044,2750,39,25,1,8749,218
5,101,"Arkansas","Newton County",3,8325,8015,9,93,25,1,8182,143
5,103,"Arkansas","Ouachita County",3,26109,15045,10474,92,97,9,25687,422
5,105,"Arkansas","Perry County",3,10447,10005,204,67,18,2,10187,260
5,107,"Arkansas","Phillips County",3,21686,7672,13709,56,64,1,21399,287
5,109,"Arkansas","Pike County",3,11277,10588,348,99,77,1,10551,726
5,111,"Arkansas","Poinsett County",3,24544,22332,1800,60,43,9,23996,548
5,113,"Arkansas","Polk County",3,20679,19693,76,376,101,6,19492,1187
5,115,"Arkansas","Pope County",3,62110,57788,1832,592,640,46,57863,4247
5,117,"Arkansas","Prairie County",3,8701,7529,1059,27,6,3,8623,78
5,119,"Arkansas","Pulaski County",3,383600,230965,135389,2159,7735,369,361471,22129
5,121,"Arkansas","Randolph County",3,17950,17464,142,95,33,5,17664,286
5,123,"Arkansas","St. Francis County",3,28172,12820,14692,184,140,11,27025,1147
5,125,"Arkansas","Saline County",3,107631,99459,5176,647,966,36,103516,4115
5,127,"Arkansas","Scott County",3,11267,10336,54,225,412,3,10462,805
5,129,"Arkansas","Searcy County",3,8189,7895,12,96,11,2,8061,128
5,131,"Arkansas","Sebastian County",3,125824,105301,8279,2822,5279,237,110223,15601
5,133,"Arkansas","Sevier County",3,17138,15362,769,568,72,14,11857,5281
5,135,"Arkansas","Sharp County",3,17281,16687,100,170,50,2,16987,294
5,137,"Arkansas","Stone County",3,12416,12083,11,89,45,4,12254,162
5,139,"Arkansas","Union County",3,41580,26922,13754,171,228,16,40116,1464
5,141,"Arkansas","Van Buren County",3,17296,16722,72,131,58,2,16820,476
5,143,"Arkansas","Washington County",3,204019,180724,6386,2920,4709,4404,172318,31701
5,145,"Arkansas","White County",3,77339,71901,3129,490,453,41,74441,2898
5,147,"Arkansas","Woodruff County",3,7243,5106,1996,19,15,5,7156,87
5,149,"Arkansas","Yell County",3,22159,21029,379,171,316,15,17924,4235
6,1,"California","Alameda County",3,1513625,799926,198822,17772,406640,14806,1173025,340600
6,3,"California","Alpine County",3,1158,878,0,245,7,0,1078,80
6,5,"California","Amador County",3,37860,34371,971,808,458,92,33144,4716
6,7,"California","Butte County",3,219924,192306,3723,5191,9403,577,188635,31289
6,9,"California","Calaveras County",3,45475,42082,403,815,623,79,40759,4716
6,11,"California","Colusa County",3,21459,19770,236,589,338,112,9608,11851
6,13,"California","Contra Costa County",3,1052894,726384,102555,10314,158080,5909,795943,256951
6,15,"California","Del Norte County",3,28580,22757,1070,2468,1004,39,23466,5114
6,17,"California","El Dorado County",3,181163,164393,1510,2466,6541,358,159208,21955
6,19,"California","Fresno County",3,932642,724941,55532,28066,95902,2328,462643,469999
6,21,"California","Glenn County",3,28101,25378,296,844,793,42,17515,10586
6,23,"California","Humboldt County",3,135022,114857,1659,8232,3168,394,121647,13375
6,25,"California","Imperial County",3,174779,156428,6549,4540,4001,309,33972,140807
6,27,"California","Inyo County",3,18532,15300,142,2275,259,23,14920,3612
6,29,"California","Kern County",3,841762,699608,53793,22528,39523,2196,426696,415066
6,31,"California","Kings County",3,152418,124044,11879,4395,6374,444,74546,77872
6,33,"California","Lake County",3,64757,57233,1313,2610,825,140,53588,11169
6,35,"California","Lassen County",3,34841,28611,3053,1419,437,190,28692,6149
6,37,"California","Los Angeles County",3,9827231,7061077,919985,145947,1397248,36420,5130113,4697118
6,39,"California","Madera County",3,151154,130470,6517,6892,3362,349,69822,81332
6,41,"California","Marin County",3,252884,218692,7553,2853,14393,648,213675,39209
6,43,"California","Mariposa County",3,18261,16635,145,579,229,28,16591,1670
6,45,"California","Mendocino County",3,87761,76623,803,5363,1588,190,68151,19610
6,47,"California","Merced County",3,256731,210973,11227,6135,20407,895,115453,141278
6,49,"California","Modoc County",3,9708,8727,89,490,84,22,8351,1357
6,51,"California","Mono County",3,14249,13298,62,361,206,13,10462,3787
6,53,"California","Monterey County",3,416364,343601,15226,11267,28521,2522,185294,231070
6,55,"California","Napa County",3,136829,117871,2960,1757,9747,519,92606,44223
6,57,"California","Nevada County",3,98752,92960,427,1227,1221,122,90271,8481
6,59,"California","Orange County",3,3018080,2269839,59506,32624,553153,11509,2001355,1016725
6,61,"California","Placer County",3,350214,306193,5145,3817,21410,882,305106,45108
6,63,"California","Plumas County",3,19918,18259,192,623,147,18,18310,1608
6,65,"California","Riverside County",3,2202553,1788005,153660,40430,141710,9216,1198455,1004098
6,67,"California","Sacramento County",3,1421838,936065,156012,22030,212074,16063,1114327,307511
6,69,"California","San Benito County",3,55532,49376,650,1726,1783,177,24129,31403
6,71,"California","San Bernardino County",3,2041689,1589968,196996,41113,138907,9112,1034587,1007102
