"n_storms","total_intensity","intensity_per_area","state_fips","county_fips"
NA,1000,5458.45184593863,18,119
3,34625,108260.829991548,18,147
NA,1000,5458.45184593863,19,29
NA,1000,5458.45184593863,19,45
1,37037.037037037,248869.605319356,19,159
1,8000,48476.8793740268,20,47
NA,1000,5458.45184593863,20,71
NA,1000,5458.45184593863,20,93
NA,1000,5458.45184593863,20,135
NA,1000,5458.45184593863,20,161
4,18719.3287037037,65196.8419728454,21,7
2,49745.3703703704,329072.388606631,21,11
1,3375,35767.8010594211,21,13
1,27000,237969.078471414,21,31
NA,1000,5458.45184593863,21,51
1,107171.875,1324401.11462194,21,61
1,3375,40756.4019594315,21,97
1,29313.0787037037,288720.408493894,21,121
3,62129.6296296296,195054.378140627,21,131
1,15625,175506.508546995,21,133
3,96875,286661.709081559,21,147
3,42587.962962963,121003.176901285,21,151
1,3375,35614.3982735624,21,187
NA,1000,5458.45184593863,21,217
1,46010.9953703704,363426.074775254,21,231
NA,1000,5458.45184593863,21,237
16,3473553.24074074,2955485.5146655,22,5
34,3804688.65740741,393877.132985958,22,11
19,409593.171296296,105709.160968773,22,13
25,794536.458333333,136454.334953025,22,17
4,1296300.34722222,1764962.42914134,22,29
12,1019785.87962963,763451.674106324,22,37
19,3170513.88888889,1350942.290529,22,51
12,641803.240740741,266049.083489301,22,67
31,874416.087962963,88112.6157289803,22,69
8,440865.162037037,553634.794952738,22,81
54,4985608.21759259,349703.441719875,22,103
129,44310489.6047668,960417.414340152,22,109
44,5999398.72685185,434882.284442563,22,113
26,2173646.41203704,506363.86779998,22,117
18,593824.074074074,139539.258190671,22,127
38,3215663.19444444,69298.111512373,23,25
14,1578504.62962963,382030.17698333,23,31
2,88885.9953703704,434578.419736613,24,15
2,204037.037037037,573356.350494134,24,23
4,395370.37037037,806623.363096847,24,25
10,843594.328703704,909112.230329411,24,39
10,2014537.61574074,1216752.279769,25,5
NA,1000,5458.45184593863,26,41
NA,1000,5458.45184593863,26,47
NA,1000,5458.45184593863,26,97
NA,1000,5458.45184593863,26,141
NA,1000,5458.45184593863,26,153
3,127000,235996.386097748,26,163
NA,1000,5458.45184593863,27,15
NA,1000,5458.45184593863,27,59
NA,1000,5458.45184593863,27,69
NA,1000,5458.45184593863,27,75
NA,1000,5458.45184593863,27,89
NA,1000,5458.45184593863,27,139
NA,1000,5458.45184593863,27,145
8,252453.703703704,138180.578466477,28,11
11,767061.921296296,563188.504258801,28,21
18,1181321.75925926,342957.581634159,28,51
11,444985.532407407,226014.364499148,28,107
14,1510315.97222222,539886.282393159,28,121
8,224254.62962963,267823.428556279,28,137
8,359500,235500.871979129,28,151
NA,1000,5458.45184593863,29,13
9,233760.416666667,142208.361733572,29,23
4,30375,40323.5547017622,29,29
6,155750,168013.343941138,29,31
NA,1000,5458.45184593863,29,37
NA,1000,5458.45184593863,29,113
2,54000,205678.20028814,29,123
NA,1000,5458.45184593863,29,169
NA,1000,5458.45184593863,29,183
NA,1000,5458.45184593863,29,195
7,123750,81489.6704485924,29,207
NA,1000,5458.45184593863,30,3
NA,1000,5458.45184593863,30,13
NA,1000,5458.45184593863,30,29
NA,1000,5458.45184593863,30,53
NA,1000,5458.45184593863,30,59
NA,1000,5458.45184593863,30,69
NA,1000,5458.45184593863,30,73
NA,1000,5458.45184593863,30,89
NA,1000,5458.45184593863,31,49
NA,1000,5458.45184593863,31,101
NA,1000,5458.45184593863,31,113
NA,1000,5458.45184593863,31,171
16,1775649.30555556,534383.876653865,33,15
11,1318562.5,536387.926414871,34,5
1,91125,1451480.283092,34,21
14,1914723.95833333,1024735.40315873,34,25
3,148894.675925926,591306.404942638,34,35
2,189000,941748.297314644,34,41
NA,1000,5458.45184593863,35,7
NA,1000,5458.45184593863,35,17
NA,1000,5458.45184593863,35,21
