"state_county_fips","Scale"
18127,-0.54
18129,-1.53
18131,-3.48
18133,-2.71
18135,-3.72
18137,-2.4
18139,-3.97
18141,-2.51
18143,-1.92
18145,-3.76
18147,-2.2
18149,-2.85
18151,-1.61
18153,-2.07
18155,-0.2
18157,-2.79
18159,-5.4
18161,-1.51
18163,-2.48
18165,-2.3
18167,-2.12
18169,-2.05
18171,-3.25
18173,-1.81
18175,-2.13
18177,-2.54
18179,-3.73
18181,-2.73
18183,-2.56
19001,-1.59
19003,-1
19005,-0.27
19007,-0.51
19009,-1.94
19011,-3.66
19013,-3.07
19015,-3.35
19017,-3.16
19019,-3.24
19021,-2.44
19023,-3.94
19025,-2.73
19027,-1.7
19029,-1.79
19031,-3.28
19033,-2.96
19035,-2.66
19037,-3.65
19039,-2.42
19041,-2.52
19043,-1.01
19045,-2.35
19047,-1.89
19049,-2.56
19051,-1.96
19053,-2.04
19055,-3.45
19057,-2.04
19059,-1.51
19061,-0.79
19063,-2.1
19065,-4.09
19067,-4.03
19069,-4.18
19071,-0.81
19073,-2.37
19075,-4.86
19077,-1.19
19079,-3.74
19081,-4.06
19083,-3.63
19085,-1.06
19087,-2.95
19089,-4.16
19091,-4.05
19093,-2.14
19095,-3.84
19097,-0.85
19099,-3.19
19101,-3.35
19103,-2.64
19105,-3.45
19107,-3.95
19109,-4.47
19111,-1.95
19113,-2.83
19115,-1.83
19117,-2.61
19119,-4.49
19121,-2.15
19123,-1.82
19125,-2.28
19127,-3.7
19129,-1
19131,-4.1
19133,-1.03
19135,-2.36
19137,-1.67
19139,-2.37
19141,-4.23
19143,-3.19
19145,-1.83
19147,-2.29
19149,-2.69
19151,-2.95
19153,-2.13
19155,-1.03
19157,-3.42
19159,-1.9
19161,-1.45
19163,-2.39
19165,-2.01
19167,-3.7
19169,-3.54
19171,-3.34
19173,-1.44
19175,-1.83
19177,-1.07
19179,-1.4
19181,-2.16
19183,-3.28
19185,-1.9
19187,-3.2
19189,-3.81
19191,-4.44
19193,-1.51
19195,-3.51
19197,-3.56
20001,-1.43
20003,-2.42
20005,-0.76
20007,-1.28
20009,-0.88
20011,-1.85
20013,-2.64
20015,0.58
20017,-0.88
20019,0.23
20021,-0.98
20023,-0.14
20025,0.22
20027,-0.8
20029,-1.49
20031,-0.95
20033,-1.26
20035,-1.25
20037,-1
20039,-0.83
20041,-0.96
20043,-2.07
20045,0.36
20047,-3.01
20049,0.13
20051,-2.31
20053,-0.19
20055,-0.35
20057,-0.84
20059,-1.97
20061,0.39
20063,-1.79
20065,-1.28
20067,-0.97
20069,-0.96
20071,-1.8
20073,0.66
20075,-0.59
20077,-1.26
20079,-1.71
20081,-0.61
20083,-0.94
20085,-2.85
20087,-1.06
20089,-0.2
20091,-1.69
20093,-0.36
20095,-0.77
20097,-2.08
20099,-1.05
20101,-0.9
20103,-0.35
20105,-1.33
20107,-1.53
20109,-1.43
20111,-0.48
20113,-1.81
20115,-0.81
20117,-1.38
20119,-0.16
20121,-1.15
20123,0.32
20125,-0.81
