"state_county_fips","POVALL_2014","PCTPOVALL_2014"
16079,"2,310",18.9
16081,"1,198",11.6
16083,"11,553",14.5
16085,"1,142",11.7
16087,"1,757",17.8
17000,"1,802,337",14.3
17001,"9,185",14.2
17003,"2,491",35.6
17005,"2,463",16.2
17007,"5,447",10.2
17009,"665",14.2
17011,"4,369",13.1
17013,"587",12.1
17015,"1,821",12.6
17017,"1,702",13.2
17019,"43,210",22.6
17021,"4,639",14.4
17023,"2,213",13.9
17025,"1,811",13.6
17027,"3,554",9.9
17029,"11,228",22.9
17031,"883,001",17.1
17033,"2,721",15.2
17035,"1,298",12.2
17037,"14,452",14.7
17039,"1,735",10.9
17041,"1,957",10
17043,"72,895",7.9
17045,"2,636",15.1
17047,"756",11.6
17049,"3,987",11.8
17051,"3,495",17.5
17053,"1,604",12.1
17055,"7,684",19.9
17057,"5,453",16.5
17059,"917",17.5
17061,"2,118",16.2
17063,"4,261",8.5
17065,"1,149",14
17067,"2,126",11.6
17069,"847",20.6
17071,"802",11.7
17073,"5,501",11.3
17075,"4,486",15.8
17077,"16,945",30.4
17079,"1,045",11
17081,"7,046",19.5
17083,"2,505",11.6
17085,"2,352",10.7
17087,"1,751",15.9
17089,"55,787",10.7
17091,"15,667",14.7
17093,"6,477",5.4
17095,"9,289",19.3
17097,"64,993",9.5
17099,"14,686",13.6
17101,"2,521",18.1
17103,"3,479",10.9
17105,"4,115",11.9
17107,"3,178",12.6
17109,"6,549",23.6
17111,"20,905",6.9
17113,"23,326",14.3
17115,"17,003",16.3
17117,"5,868",12.9
17119,"34,436",13.1
17121,"7,004",18.6
17123,"1,255",10.7
17125,"2,014",14.8
17127,"3,029",20.7
17129,"1,245",10.1
17131,"1,511",9.6
17133,"1,710",5.1
17135,"4,577",17
17137,"4,832",15.1
17139,"1,705",11.8
17141,"5,856",11.4
17143,"30,408",16.7
17145,"3,200",16.7
17147,"1,206",7.4
17149,"2,338",15.2
17151,"799",19.7
17153,"1,332",23
17155,"512",8.9
17157,"3,949",13.8
17159,"2,284",14.6
17161,"23,015",16.3
17163,"49,691",19.1
17165,"4,983",21
17167,"29,897",15.3
17169,"954",13.2
17171,"614",12
17173,"2,539",11.7
17175,"677",11.9
17177,"6,417",14.1
17179,"12,112",9.1
17181,"3,079",17.9
17183,"14,555",19
17185,"1,690",14.8
17187,"2,261",13.5
17189,"1,441",10.2
17191,"2,457",14.9
17193,"1,963",14.1
17195,"6,771",12.2
17197,"54,720",8.1
17199,"10,271",15.8
17201,"47,864",16.9
17203,"2,411",6.3
18000,"968,437",15.2
18001,"5,273",15.4
18003,"54,597",15.2
18005,"9,338",11.8
18007,"1,102",12.8
18009,"1,821",15
18011,"4,409",7.2
18013,"1,908",12.9
18015,"2,137",10.9
18017,"5,170",13.8
18019,"11,945",10.6
18021,"3,791",14.5
18023,"3,992",12.6
18025,"1,894",18
18027,"4,433",13.8
18029,"5,688",11.7
18031,"3,404",13.1
18033,"4,224",10.1
18035,"23,985",22.2
18037,"3,312",8
18039,"27,469",13.9
18041,"3,765",16.4
18043,"8,644",11.6
18045,"2,393",14.6
18047,"2,522",11.1
18049,"2,631",13
18051,"3,871",11.8
18053,"12,684",20
18055,"4,989",15.5
18057,"14,813",4.9
18059,"4,907",6.9
18061,"3,858",10
18063,"9,634",6.4
18065,"7,012",15.5
18067,"13,655",16.8
18069,"3,768",10.7
18071,"6,379",14.9
18073,"3,340",10.3
18075,"4,154",19.9
18077,"4,913",16.2
18079,"4,814",17.5
18081,"14,711",10.2
18083,"6,141",17.4
18085,"9,235",12
18087,"4,146",10.9
18089,"85,233",17.6
18091,"18,671",17.9
18093,"5,622",12.5
