"state_county_fips","POVALL_2014"
13177,"3,331"
13179,"10,742"
13181,"1,354"
13183,"3,666"
13185,"26,225"
13187,"5,297"
13189,"5,817"
13191,"3,290"
13193,"4,054"
13195,"5,534"
13197,"2,255"
13199,"4,931"
13201,"1,460"
13205,"6,693"
13207,"3,815"
13209,"1,860"
13211,"2,673"
13213,"7,283"
13215,"42,237"
13217,"19,738"
13219,"2,755"
13221,"2,291"
13223,"15,777"
13225,"5,589"
13227,"3,655"
13229,"3,540"
13231,"2,405"
13233,"8,351"
13235,"2,453"
13237,"3,967"
13239,"682"
13241,"3,287"
13243,"2,496"
13245,"49,562"
13247,"14,983"
13249,"1,035"
13251,"3,584"
13253,"2,258"
13255,"17,205"
13257,"5,184"
13259,"1,664"
13261,"9,996"
13263,"1,513"
13265,"545"
13267,"5,833"
13269,"2,114"
13271,"4,274"
13273,"2,632"
13275,"10,827"
13277,"11,178"
13279,"6,586"
13281,"1,817"
13283,"1,752"
13285,"13,099"
13287,"2,472"
13289,"2,309"
13291,"3,260"
13293,"6,661"
13295,"13,348"
13297,"13,499"
13299,"9,595"
13301,"1,573"
13303,"5,734"
13305,"7,032"
13307,"603"
13309,"2,103"
13311,"4,606"
13313,"21,240"
13315,"2,113"
13317,"2,617"
13319,"2,130"
13321,"4,692"
15000,"158,266"
15001,"34,598"
15003,"93,994"
15005,""
15007,"8,570"
15009,"21,103"
16000,"237,604"
16001,"48,083"
16003,"569"
16005,"14,116"
16007,"795"
16009,"1,418"
16011,"6,720"
16013,"2,262"
16015,"1,057"
16017,"6,686"
16019,"16,643"
16021,"1,817"
16023,"385"
16025,"133"
16027,"35,950"
16029,"778"
16031,"3,615"
16033,"150"
16035,"1,308"
16037,"645"
16039,"3,656"
16041,"1,393"
16043,"1,872"
16045,"2,645"
16047,"2,560"
16049,"2,565"
16051,"3,093"
16053,"3,543"
16055,"18,765"
16057,"7,008"
16059,"1,392"
16061,"523"
16063,"742"
16065,"10,050"
16067,"3,403"
16069,"5,689"
16071,"573"
16073,"2,645"
16075,"3,213"
16077,"1,183"
16079,"2,310"
16081,"1,198"
16083,"11,553"
16085,"1,142"
16087,"1,757"
17000,"1,802,337"
17001,"9,185"
17003,"2,491"
17005,"2,463"
17007,"5,447"
17009,"665"
17011,"4,369"
17013,"587"
17015,"1,821"
17017,"1,702"
17019,"43,210"
17021,"4,639"
17023,"2,213"
17025,"1,811"
17027,"3,554"
17029,"11,228"
17031,"883,001"
17033,"2,721"
17035,"1,298"
17037,"14,452"
17039,"1,735"
17041,"1,957"
17043,"72,895"
17045,"2,636"
17047,"756"
17049,"3,987"
17051,"3,495"
17053,"1,604"
17055,"7,684"
17057,"5,453"
17059,"917"
17061,"2,118"
17063,"4,261"
17065,"1,149"
17067,"2,126"
17069,"847"
17071,"802"
17073,"5,501"
17075,"4,486"
17077,"16,945"
17079,"1,045"
17081,"7,046"
17083,"2,505"
17085,"2,352"
17087,"1,751"
17089,"55,787"
17091,"15,667"
17093,"6,477"
17095,"9,289"
17097,"64,993"
17099,"14,686"
17101,"2,521"
17103,"3,479"
17105,"4,115"
17107,"3,178"
17109,"6,549"
17111,"20,905"
17113,"23,326"
17115,"17,003"
17117,"5,868"
17119,"34,436"
17121,"7,004"
17123,"1,255"
17125,"2,014"
17127,"3,029"
17129,"1,245"
17131,"1,511"
17133,"1,710"
17135,"4,577"
17137,"4,832"
17139,"1,705"
17141,"5,856"
17143,"30,408"
17145,"3,200"
17147,"1,206"
17149,"2,338"
17151,"799"
17153,"1,332"
17155,"512"
17157,"3,949"
17159,"2,284"
17161,"23,015"
17163,"49,691"
17165,"4,983"
17167,"29,897"
17169,"954"
17171,"614"
17173,"2,539"
17175,"677"
17177,"6,417"
17179,"12,112"
17181,"3,079"
17183,"14,555"
17185,"1,690"
17187,"2,261"
17189,"1,441"
17191,"2,457"
17193,"1,963"
17195,"6,771"
17197,"54,720"
17199,"10,271"
17201,"47,864"
17203,"2,411"
18000,"968,437"
18001,"5,273"
18003,"54,597"
18005,"9,338"
18007,"1,102"
18009,"1,821"
18011,"4,409"
18013,"1,908"
18015,"2,137"
18017,"5,170"
18019,"11,945"
18021,"3,791"
18023,"3,992"
18025,"1,894"
18027,"4,433"
18029,"5,688"
18031,"3,404"
18033,"4,224"
18035,"23,985"
18037,"3,312"
18039,"27,469"
18041,"3,765"
18043,"8,644"
18045,"2,393"
18047,"2,522"
18049,"2,631"
18051,"3,871"
18053,"12,684"
18055,"4,989"
18057,"14,813"
18059,"4,907"
18061,"3,858"
18063,"9,634"
18065,"7,012"
18067,"13,655"
18069,"3,768"
18071,"6,379"
18073,"3,340"
18075,"4,154"
18077,"4,913"
18079,"4,814"
18081,"14,711"
18083,"6,141"
18085,"9,235"
18087,"4,146"
18089,"85,233"
18091,"18,671"
18093,"5,622"
18095,"20,564"
18097,"194,803"
18099,"5,041"
18101,"1,351"
18103,"5,543"
18105,"30,812"
18107,"4,544"
18109,"7,917"
18111,"1,607"
18113,"5,159"
18115,"659"
18117,"3,463"
18119,"3,180"
18121,"2,719"
18123,"2,754"
18125,"1,393"
18127,"16,369"
18129,"2,703"
18131,"1,806"
18133,"4,341"
18135,"4,003"
18137,"2,980"
18139,"2,387"
