"","state_fips","county_fips","STNAME","CTYNAME","land_area","hail_tot_intensity","tornado_tot_intensity","wind_tot_intensity","highfirerisk"
"119",5,15,"Arkansas","Carroll County",0.166021827932575,136.83,10,5282,0
"120",5,17,"Arkansas","Chicot County",0.173185069232707,132.05,24,4733,0
"121",5,19,"Arkansas","Clark County",0.2232689672615,180.96,33,8476,0.000509830162827008
"122",5,21,"Arkansas","Clay County",0.166922381185362,85.28,17,2564,0
"123",5,23,"Arkansas","Cleburne County",0.152367936483,128.69,25,5228,0
"124",5,25,"Arkansas","Cleveland County",0.1511585747225,86.56,11,4297,0.000517330574236937
"125",5,27,"Arkansas","Columbia County",0.192103352217804,173.38,36,5014,0.000220191566662997
"126",5,29,"Arkansas","Conway County",0.1453894364,182.2,50,7274,0
"127",5,31,"Arkansas","Craighead County",0.1841096801606,144.61,28,5183,0
"128",5,33,"Arkansas","Crawford County",0.155332774329064,274.45,31,8164,0.00102693366942072
"129",5,35,"Arkansas","Crittenden County",0.163152781607754,100.44,13,2858,0
"130",5,37,"Arkansas","Cross County",0.159701043623499,60.78,17,1422,0
"131",5,39,"Arkansas","Dallas County",0.1687602986965,81.15,24,5800,0.00147641947186366
"132",5,41,"Arkansas","Desha County",0.206664783144265,53.65,22,3170,0
"133",5,43,"Arkansas","Drew County",0.210224876453,84.29,22,5069,0.000303214069132808
"134",5,45,"Arkansas","Faulkner County",0.1701013372915,215.85,80,9344,4.23674956573317e-05
"135",5,47,"Arkansas","Franklin County",0.159466373934499,193.41,19,9327,0.00045382346267302
"136",5,49,"Arkansas","Fulton County",0.161350559647181,76.3,19,4877,0
"137",5,51,"Arkansas","Garland County",0.186947147770501,282.92,42,10395,0.00348605577689243
"138",5,53,"Arkansas","Grant County",0.160505762081001,98.52,19,5344,0.141067223530457
"139",5,55,"Arkansas","Greene County",0.150164546527365,84.19,26,2327,0
"140",5,57,"Arkansas","Hempstead County",0.186766832624,198.2,23,6020,0.00151733555875882
"141",5,59,"Arkansas","Hot Spring County",0.1578062680365,197.38,38,8841,0.130232347888979
"142",5,61,"Arkansas","Howard County",0.150680340842,254.26,26,6845,0.00122896577802987
"143",5,63,"Arkansas","Independence County",0.199119797086001,156.45,41,7233,0
"144",5,65,"Arkansas","Izard County",0.151364415047,134.68,26,5293,0
"145",5,67,"Arkansas","Jackson County",0.165229114917499,111.66,47,6814,0
"146",5,69,"Arkansas","Jefferson County",0.231707268667499,190.81,27,9921,6.15896283065932e-05
"147",5,71,"Arkansas","Johnson County",0.1758097341725,167.6,40,7490,0
"148",5,73,"Arkansas","Lafayette County",0.136564023521904,129.55,9,4494,5.16555607211116e-05
"149",5,75,"Arkansas","Lawrence County",0.153394350534,99.91,22,2938,0
"150",5,77,"Arkansas","Lee County",0.15798092512861,27.13,7,907,0
"151",5,79,"Arkansas","Lincoln County",0.144543078752,69.53,14,2267,0
"152",5,81,"Arkansas","Little River County",0.142255197729707,196.87,22,4288,0.0116586119276568
"153",5,83,"Arkansas","Logan County",0.1875727213515,103.17,28,6303,0.000115655962064844
"154",5,85,"Arkansas","Lonoke County",0.2047020041725,230.87,57,10657,0
"155",5,87,"Arkansas","Madison County",0.2167291154415,195.13,17,5927,0
"156",5,89,"Arkansas","Marion County",0.166312521039767,105.7,25,4757,0
"157",5,91,"Arkansas","Miller County",0.159914460347529,212.22,24,6937,0.0774085352398605
"158",5,93,"Arkansas","Mississippi County",0.23736705674004,119.2,45,4350,0
"159",5,95,"Arkansas","Monroe County",0.158288510201,84.57,21,3327,0
"160",5,97,"Arkansas","Montgomery County",0.203537277441999,136.1,10,4473,0
"161",5,99,"Arkansas","Nevada County",0.156287922148499,128.2,19,3831,0.000679163270850313
"162",5,101,"Arkansas","Newton County",0.212900794652001,117.55,7,4245,0
"163",5,103,"Arkansas","Ouachita County",0.1861075752465,119.79,15,5982,3.81417346860935e-05
"164",5,105,"Arkansas","Perry County",0.143280306726001,95.99,20,4455,0
"165",5,107,"Arkansas","Phillips County",0.184791602565165,25.26,23,1621,0
"166",5,109,"Arkansas","Pike County",0.155507826482,196.36,24,4958,0.000596084185428034
"167",5,111,"Arkansas","Poinsett County",0.196659109295499,98.43,30,2943,0
"168",5,113,"Arkansas","Polk County",0.219182893453692,208.61,39,5934,0.00143696930111038
"169",5,115,"Arkansas","Pope County",0.2136070167405,167.58,25,7241,0
"170",5,117,"Arkansas","Prairie County",0.172427352574499,81.8,18,4997,0
"171",5,119,"Arkansas","Pulaski County",0.205988355872501,611.55,83,18652,0.000104766893661603
"172",5,121,"Arkansas","Randolph County",0.170554217379693,98.04,14,2414,0
"173",5,123,"Arkansas","St. Francis County",0.164357453174001,82.44,16,1786,0
"174",5,125,"Arkansas","Saline County",0.1860013725955,263.2,57,9453,0.0612425807446235
"175",5,127,"Arkansas","Scott County",0.229268960998033,97.82,5,4415,9.39084705440431e-05
"176",5,129,"Arkansas","Searcy County",0.1728892376895,104.69,15,4317,4.20857708008922e-05
"177",5,131,"Arkansas","Sebastian County",0.1402816213822,315.75,27,11386,0.000925021840793463
"178",5,133,"Arkansas","Sevier County",0.146901379012537,182.34,19,4400,0.034776712196067
"179",5,135,"Arkansas","Sharp County",0.157301256722049,94.06,19,4201,0
