"","state_fips","county_fips","CensusRace...STNAME","CensusRace...CTYNAME","land_area","CensusRace...TOT_POP","CensusRace...H","poverty_pct_2014...PCTPOVALL_2014","hail...total_intensity","tornado...total_intensity","wind...total_intensity","natural_amenities...Scale","highfirerisk","PercUnempl","PercMino"
"62",1,123,"Alabama","Tallapoosa County",0.1912196286045,41165,952,21.3,104.67,19,5599,2.19,0.0463160214500845,0.00534434592493623,0.294181950686263
"63",1,125,"Alabama","Tuscaloosa County",0.338844532030999,202212,6613,18,246.06,71,11970,0.5,0.00587181943114147,0.00738828556168773,0.339692995470101
"64",1,127,"Alabama","Walker County",0.203022727596001,65471,1534,23.5,179.72,54,9243,0.51,0.107333962858042,0.0063845061172122,0.0870614470528936
"65",1,129,"Alabama","Washington County",0.267440581264637,16834,233,18.5,79.52,25,4079,-0.49,0.357803856692344,0.10033266009267,0.33984792681478
"66",1,131,"Alabama","Wilcox County",0.224253768752,11098,109,33.7,30.4,9,1684,1.58,0.000186127311080779,0.129663002342764,0.719228689854028
"67",1,133,"Alabama","Winston County",0.1600417410355,24150,697,20.1,109.58,23,6494,0.88,0.00463148519260744,0.079296066252588,0.0373084886128364
"68",2,13,"Alaska","Aleutians East Borough",NA,3360,444,16.2,NA,NA,NA,NA,NA,0.133928571428571,0.771726190476191
"69",2,16,"Alaska","Aleutians West Census Area",NA,5750,808,9.9,NA,NA,NA,NA,NA,0.154608695652174,0.621913043478261
"70",2,20,"Alaska","Anchorage Municipality",NA,301010,26813,10,NA,NA,NA,NA,NA,0.00620245174578918,0.339400684362646
"71",2,50,"Alaska","Bethel Census Area",NA,17868,319,23.8,NA,NA,NA,NA,NA,0.00542869935079472,0.87922543093799
"72",2,60,"Alaska","Bristol Bay Borough",NA,957,41,9.5,NA,NA,NA,NA,NA,1.39080459770115,0.539184952978056
"73",2,68,"Alaska","Denali Borough",NA,1921,72,7.1,NA,NA,NA,NA,NA,0.23685580426861,0.140031233732431
"74",2,70,"Alaska","Dillingham Census Area",NA,4988,155,17.5,NA,NA,NA,NA,NA,0.177024859663192,0.813352044907779
"75",2,90,"Alaska","Fairbanks North Star Borough",NA,99357,7672,9.5,NA,NA,NA,NA,NA,0.00817254949324154,0.226637277695583
"76",2,100,"Alaska","Haines Borough",NA,2566,64,9.8,NA,NA,NA,NA,NA,0.188230709275136,0.208885424785659
"77",2,105,"Alaska","Hoonah-Angoon Census Area",NA,2082,106,19.1,NA,NA,NA,NA,NA,0.289625360230548,0.512487992315082
"78",2,110,"Alaska","Juneau City and Borough",NA,32406,2107,7.9,NA,NA,NA,NA,NA,0.0603900512250818,0.301147935567487
"79",2,122,"Alaska","Kenai Peninsula Borough",NA,57477,2287,11.5,NA,NA,NA,NA,NA,0.0120048019207683,0.155157715260017
"80",2,130,"Alaska","Ketchikan Gateway Borough",NA,13787,677,12.4,NA,NA,NA,NA,NA,0.112352215855516,0.315804743599043
"81",2,150,"Alaska","Kodiak Island Borough",NA,13986,1220,8.3,NA,NA,NA,NA,NA,0.0873730873730874,0.428356928356928
"82",2,164,"Alaska","Lake and Peninsula Borough",NA,1631,52,17.7,NA,NA,NA,NA,NA,1.25628448804414,0.749233599019007
"83",2,170,"Alaska","Matanuska-Susitna Borough",NA,97882,4584,10.7,NA,NA,NA,NA,NA,0.0110847755460657,0.161592529780756
"84",2,180,"Alaska","Nome Census Area",NA,9817,195,26.1,NA,NA,NA,NA,NA,0.154018539268616,0.827136599775899
"85",2,185,"Alaska","North Slope Borough",NA,9703,377,11.5,NA,NA,NA,NA,NA,0.0973925590023704,0.660723487581161
"86",2,188,"Alaska","Northwest Arctic Borough",NA,7717,159,23.2,NA,NA,NA,NA,NA,0.19670856550473,0.868990540365427
"87",2,195,"Alaska","Petersburg Borough",NA,3160,178,8.8,NA,NA,NA,NA,NA,0.185759493670886,0.220886075949367
"88",2,198,"Alaska","Prince of Wales-Hyder Census Area",NA,6396,208,17.4,NA,NA,NA,NA,NA,0.190744215134459,0.528455284552846
"89",2,220,"Alaska","Sitka City and Borough",NA,8900,531,8.6,NA,NA,NA,NA,NA,0.104157303370787,0.329887640449438
"90",2,230,"Alaska","Skagway Municipality",NA,1036,45,3.6,NA,NA,NA,NA,NA,1.95656370656371,0.101351351351351
"91",2,240,"Alaska","Southeast Fairbanks Census Area",NA,6931,343,13.8,NA,NA,NA,NA,NA,0.177463569470495,0.199971144135045
"92",2,261,"Alaska","Valdez-Cordova Census Area",NA,9488,447,9.9,NA,NA,NA,NA,NA,0.14829258010118,0.260328836424958
"93",2,270,"Alaska","Wade Hampton Census Area",NA,8010,91,35.7,NA,NA,NA,NA,NA,0.213857677902622,0.948064918851436
"94",2,275,"Alaska","Wrangell City and Borough",NA,2364,51,11.9,NA,NA,NA,NA,NA,0.848138747884941,0.294416243654822
"95",2,282,"Alaska","Yakutat City and Borough",NA,635,21,14.8,NA,NA,NA,NA,NA,1.5259842519685,0.601574803149606
"96",2,290,"Alaska","Yukon-Koyukuk Census Area",NA,5547,111,25.7,NA,NA,NA,NA,NA,0.258518117901568,0.767982693347756
"97",4,1,"Arizona","Apache County",2.88327840776211,71828,4564,33.1,15.26,0,927,3.45,0.140911747955955,0.0148131647825361,0.766219301665089
"98",4,3,"Arizona","Cochise County",1.53521991174081,127448,44034,18.7,78.52,3,5261,7.13,0.0728099753332277,0.00999623375808173,0.121429916514971
"99",4,5,"Arizona","Coconino County",4.82165794084671,137682,19127,21.3,127.68,18,1615,4.93,0.21900132127494,0.0105678302174576,0.336398367252074
"100",4,7,"Arizona","Gila County",1.209315231781,53119,9979,24.4,61.16,2,2796,7.5,0.776993321361081,0.00683371298405467,0.19787646604793
"101",4,9,"Arizona","Graham County",1.158719511892,37957,12201,20,13.75,NA,2396,5.2,0.305431360297017,0.00160708169771057,0.188502779460969
"102",4,11,"Arizona","Greenlee County",0.462990058064478,9346,4352,10.3,8.88,NA,340,5.18,0.423174148748249,0.121656323560882,0.0845281403809116
"103",4,12,"Arizona","La Paz County",1.1372217428032,20231,5195,22.8,7,NA,3237,4.24,0.00826229835315246,0.0828925905788147,0.229350995996243
"104",4,13,"Arizona","Maricopa County",2.3141280981685,4087191,1237680,17.1,114.94,39,33443,4.87,0.143667515981875,0.000117684737512879,0.156492564208524
"105",4,15,"Arizona","Mohave County",3.47248301197956,203361,32106,20.8,59.67,8,6007,5.84,0.22825834697577,0.00805464174546742,0.0798973254458819
"106",4,17,"Arizona","Navajo County",2.5597337432027,108101,12019,28.5,41.14,1,965,1.91,0.117630766795916,0.0120627931286482,0.489930712944376
"107",4,19,"Arizona","Pima County",2.27355336938466,1004516,362438,18.7,123.89,13,23950,4.04,0.0864405170010508,0.00098455375524133,0.144678631301044
"108",4,21,"Arizona","Pinal County",1.3416979597985,401918,117553,17.6,42.64,14,10678,3.36,0.231914871332964,0.00110719101906359,0.168153702994143
"109",4,23,"Arizona","Santa Cruz County",0.30456055973395,46695,38662,23.6,28.76,0,2213,5.95,0.13374406074522,0.0172181175714745,0.038440946568155
"110",4,25,"Arizona","Yavapai County",2.0689154868925,218844,31117,15.6,146.05,-1,3707,5.21,0.239841945415067,0.00735226919632249,0.0638582734733417
"111",4,27,"Arizona","Yuma County",1.37574499464986,203247,125428,22.6,16.26,6,5988,4.24,0.00493203784459235,0.00431986695990593,0.0872189995424287
"112",5,1,"Arkansas","Arkansas County",0.262150642729001,18594,555,20.4,138.3,40,5523,-0.87,0,0.0811014305690008,0.273744218565129
"113",5,3,"Arkansas","Ashley County",0.235536493217484,20948,1089,22.7,139.16,38,5319,-1.12,0,0.0887912927248425,0.281315638724461
"114",5,5,"Arkansas","Baxter County",0.152458547925734,40857,800,14.9,195.37,14,8894,2.64,0,0.000979024402183224,0.0315001101402452
"115",5,7,"Arkansas","Benton County",0.229838395704062,242321,39180,11.9,288.79,41,11698,2.39,0,0.006045699712365,0.0999294324470434
"116",5,9,"Arkansas","Boone County",0.156461869582585,37196,852,16.9,171.69,14,5279,1.98,0,0.0544413377782557,0.0366437251317346
"117",5,11,"Arkansas","Bradley County",0.164009912708499,11148,1594,27.4,92.93,20,3891,-1.06,4.30941607412196e-05,0.107283817725152,0.31691783279512
"118",5,13,"Arkansas","Calhoun County",0.1590369709605,5202,202,18,74.03,15,3589,-1.35,8.89956837093401e-05,0.110534409842368,0.24317570165321
"119",5,15,"Arkansas","Carroll County",0.166021827932575,27744,4041,17.9,136.83,10,5282,1.75,0,0.0610222029988466,0.0550389273356401
"120",5,17,"Arkansas","Chicot County",0.173185069232707,11180,630,32.1,132.05,24,4733,-0.45,0,0.120035778175313,0.564847942754919
"121",5,19,"Arkansas","Clark County",0.2232689672615,22576,996,21.5,180.96,33,8476,1.15,0.000509830162827008,0.0755226789510985,0.26634479092842
"122",5,21,"Arkansas","Clay County",0.166922381185362,15118,277,19.9,85.28,17,2564,-2.3,0,0.100410107157031,0.0259955020505358
"123",5,23,"Arkansas","Cleburne County",0.152367936483,25634,666,15.2,128.69,25,5228,2.19,0,0.0736911913864399,0.030077241164079
"124",5,25,"Arkansas","Cleveland County",0.1511585747225,8449,184,16.6,86.56,11,4297,-1.59,0.000517330574236937,0.108770268670849,0.133625281098355
"125",5,27,"Arkansas","Columbia County",0.192103352217804,23933,642,24.1,173.38,36,5014,-1.63,0.000220191566662997,0.0720762127606234,0.388793715789914
