"state_fips","county_fips","STNAME","CTYNAME","land_area","hail_tot_intensity","tornado_tot_intensity","hurricane_tot_intensity","wind_tot_intensity","highfirerisk"
1,57,"Alabama","Fayette County",0.158567914361,47.89,38,167719.328703704,4573,0.00518644370920147
1,59,"Alabama","Franklin County",0.164303438505988,120.24,22,137798.032407407,7474,0.00957520891364902
1,61,"Alabama","Geneva County",0.14174867651503,34.5,16,3663296.875,3190,0.0183285526763576
1,63,"Alabama","Greene County",0.164642146733,38.15,23,572334.490740741,2050,0.00204568700988749
1,65,"Alabama","Hale County",0.163559528575,62.14,26,233647.569444444,2603,0.00493287007249174
1,67,"Alabama","Henry County",0.139768993864995,30.13,21,1397376.73611111,3825,0.0255127315961557
1,69,"Alabama","Houston County",0.142476594775597,84.92,32,1735135.41666667,8185,0.0358041416682795
1,71,"Alabama","Jackson County",0.287465416261847,114.72,43,228780.671296296,9051,0.0284929454363841
1,73,"Alabama","Jefferson County",0.2825943612835,489.39,112,327438.657407407,18213,0.186418609309663
1,75,"Alabama","Lamar County",0.152716366317545,122.55,37,546608.217592593,8046,0.000511104915900009
1,77,"Alabama","Lauderdale County",0.183854080366732,194.14,39,123337.962962963,16849,0.0216966379984363
1,79,"Alabama","Lawrence County",0.182312588597501,163.87,31,189441.550925926,8603,0.00263013268430557
1,81,"Alabama","Lee County",0.153212382131663,106.31,19,675425.925925926,4086,0.0093235831809872
1,83,"Alabama","Limestone County",0.154939563813103,175.35,44,108010.99537037,10926,0.000185416956380661
1,85,"Alabama","Lowndes County",0.1795258692375,54.41,23,1112389.46759259,2337,0.00442615312936792
1,87,"Alabama","Macon County",0.152223960603001,65.65,11,748329.282407407,2215,0.0164325713761131
1,89,"Alabama","Madison County",0.207255970127623,364.69,53,347380.208333333,20414,0
1,91,"Alabama","Marengo County",0.243526798849001,76.78,26,1005157.98611111,2927,0.00326666284600837
1,93,"Alabama","Marion County",0.188206250739403,137.7,44,307114.00462963,7167,0.0032548633714329
1,95,"Alabama","Marshall County",0.158186496086501,167.64,61,72313.0787037037,11796,0.000993407387338571
1,97,"Alabama","Mobile County",0.309645966115919,224.57,68,12002603.0092593,9933,0.55040944497459
1,99,"Alabama","Monroe County",0.254588972918001,67.91,31,2859405.09259259,4081,0.0609052826288015
1,101,"Alabama","Montgomery County",0.198178399398999,127.06,32,738408.781828704,6197,0.00411609498680738
1,103,"Alabama","Morgan County",0.152206962042001,190.25,37,140078.125,11137,0.000704887218045113
1,105,"Alabama","Perry County",0.180197225999498,54.27,24,863050.925925926,2016,0.00878386256753081
1,107,"Alabama","Pickens County",0.222998166826985,74.92,55,411550.925925926,3866,0.00126614332742466
1,109,"Alabama","Pike County",0.1660132550125,47.51,38,709563.72974537,2070,0.00108768406961178
1,111,"Alabama","Randolph County",0.146417191706845,94.17,11,288572.337962963,4636,0.104279105628373
1,113,"Alabama","Russell County",0.160498601930339,91.06,34,616425.925925926,2895,0.025299947835159
1,115,"Alabama","St. Clair County",0.1646602844135,96.47,41,569072.916666667,7143,0.147238735245972
1,117,"Alabama","Shelby County",0.2028848925885,187.28,32,1117896.99074074,9622,0.159628495895366
1,119,"Alabama","Sumter County",0.227133562367,93.31,24,699166.087962963,3854,0.0017876957218592
1,121,"Alabama","Talladega County",0.190806811437,122.05,39,360984.375,7378,0.205368382080711
1,123,"Alabama","Tallapoosa County",0.1912196286045,104.67,19,983245.37037037,5599,0.0352604128406671
1,125,"Alabama","Tuscaloosa County",0.338844532030999,246.06,71,1521030.09259259,11970,0.0150335235080998
1,127,"Alabama","Walker County",0.203022727596001,179.72,54,173250,9243,0.29049067953695
1,129,"Alabama","Washington County",0.267440581264637,79.52,25,2880891.2037037,4079,0.350204208240707
1,131,"Alabama","Wilcox County",0.224253768752,30.4,9,1265309.60648148,1684,0.00576994664350416
1,133,"Alabama","Winston County",0.1600417410355,109.58,23,97921.2962962963,6494,0.00400801603206413
2,13,"Alaska","Aleutians East Borough",NA,NA,NA,NA,NA,NA
2,16,"Alaska","Aleutians West Census Area",NA,NA,NA,NA,NA,NA
2,20,"Alaska","Anchorage Municipality",NA,NA,NA,NA,NA,NA
2,50,"Alaska","Bethel Census Area",NA,NA,NA,NA,NA,NA
2,60,"Alaska","Bristol Bay Borough",NA,NA,NA,NA,NA,NA
2,68,"Alaska","Denali Borough",NA,NA,NA,NA,NA,NA
2,70,"Alaska","Dillingham Census Area",NA,NA,NA,NA,NA,NA
2,90,"Alaska","Fairbanks North Star Borough",NA,NA,NA,NA,NA,NA
2,100,"Alaska","Haines Borough",NA,NA,NA,NA,NA,NA
2,105,"Alaska","Hoonah-Angoon Census Area",NA,NA,NA,NA,NA,NA
2,110,"Alaska","Juneau City and Borough",NA,NA,NA,NA,NA,NA
2,122,"Alaska","Kenai Peninsula Borough",NA,NA,NA,NA,NA,NA
2,130,"Alaska","Ketchikan Gateway Borough",NA,NA,NA,NA,NA,NA
2,150,"Alaska","Kodiak Island Borough",NA,NA,NA,NA,NA,NA
2,164,"Alaska","Lake and Peninsula Borough",NA,NA,NA,NA,NA,NA
2,170,"Alaska","Matanuska-Susitna Borough",NA,NA,NA,NA,NA,NA
2,180,"Alaska","Nome Census Area",NA,NA,NA,NA,NA,NA
2,185,"Alaska","North Slope Borough",NA,NA,NA,NA,NA,NA
2,188,"Alaska","Northwest Arctic Borough",NA,NA,NA,NA,NA,NA
2,195,"Alaska","Petersburg Borough",NA,NA,NA,NA,NA,NA
2,198,"Alaska","Prince of Wales-Hyder Census Area",NA,NA,NA,NA,NA,NA
2,220,"Alaska","Sitka City and Borough",NA,NA,NA,NA,NA,NA
2,230,"Alaska","Skagway Municipality",NA,NA,NA,NA,NA,NA
2,240,"Alaska","Southeast Fairbanks Census Area",NA,NA,NA,NA,NA,NA
2,261,"Alaska","Valdez-Cordova Census Area",NA,NA,NA,NA,NA,NA
2,270,"Alaska","Wade Hampton Census Area",NA,NA,NA,NA,NA,NA
2,275,"Alaska","Wrangell City and Borough",NA,NA,NA,NA,NA,NA
2,282,"Alaska","Yakutat City and Borough",NA,NA,NA,NA,NA,NA
2,290,"Alaska","Yukon-Koyukuk Census Area",NA,NA,NA,NA,NA,NA
4,1,"Arizona","Apache County",2.88327840776211,15.26,0,NA,927,0.13238684686538
4,3,"Arizona","Cochise County",1.53521991174081,78.52,3,NA,5261,0.0773450406209691
4,5,"Arizona","Coconino County",4.82165794084671,127.68,18,NA,1615,0.176272556697174
4,7,"Arizona","Gila County",1.209315231781,61.16,2,NA,2796,0.644940549549866
4,9,"Arizona","Graham County",1.158719511892,13.75,NA,NA,2396,0.305856017083336
4,11,"Arizona","Greenlee County",0.462990058064478,8.88,NA,NA,340,0.3732716086983
4,12,"Arizona","La Paz County",1.1372217428032,7,NA,NA,3237,0.00667843134809531
4,13,"Arizona","Maricopa County",2.3141280981685,114.94,39,NA,33443,0.0487130586027494
4,15,"Arizona","Mohave County",3.47248301197956,59.67,8,NA,6007,0.178047908473365
4,17,"Arizona","Navajo County",2.5597337432027,41.14,1,NA,965,0.143998914751467
4,19,"Arizona","Pima County",2.27355336938466,123.89,13,NA,23950,0.103611593616832
4,21,"Arizona","Pinal County",1.3416979597985,42.64,14,NA,10678,0.220378303082353
4,23,"Arizona","Santa Cruz County",0.30456055973395,28.76,0,NA,2213,0.189124059381181
4,25,"Arizona","Yavapai County",2.0689154868925,146.05,-1,NA,3707,0.197014139721085
4,27,"Arizona","Yuma County",1.37574499464986,16.26,6,NA,5988,0.00268793895777335
5,1,"Arkansas","Arkansas County",0.262150642729001,138.3,40,603859.953703704,5523,0
5,3,"Arkansas","Ashley County",0.235536493217484,139.16,38,545969.328703704,5319,0.0354535662996649
5,5,"Arkansas","Baxter County",0.152458547925734,195.37,14,18125,8894,0
5,7,"Arkansas","Benton County",0.229838395704062,288.79,41,36186.9212962963,11698,0.00538062338820083
5,9,"Arkansas","Boone County",0.156461869582585,171.69,14,NA,5279,4.67420772179116e-05
5,11,"Arkansas","Bradley County",0.164009912708499,92.93,20,42875,3891,0.0278388278388278
5,13,"Arkansas","Calhoun County",0.1590369709605,74.03,15,149307.291666667,3589,0.0191785698393628
5,15,"Arkansas","Carroll County",0.166021827932575,136.83,10,67917.2453703704,5282,8.81134901753458e-05
5,17,"Arkansas","Chicot County",0.173185069232707,132.05,24,334239.583333333,4733,0.000162999185004075
5,19,"Arkansas","Clark County",0.2232689672615,180.96,33,302995.37037037,8476,0.00350508236943568
5,21,"Arkansas","Clay County",0.166922381185362,85.28,17,128625,2564,0
5,23,"Arkansas","Cleburne County",0.152367936483,128.69,25,128625,5228,0.00104552799163578
5,25,"Arkansas","Cleveland County",0.1511585747225,86.56,11,64696.7592592593,4297,0.00733668814372384
5,27,"Arkansas","Columbia County",0.192103352217804,173.38,36,558219.907407407,5014,0.00355976366105178
5,29,"Arkansas","Conway County",0.1453894364,182.2,50,12629.6296296296,7274,0.00183750496622963
5,31,"Arkansas","Craighead County",0.1841096801606,144.61,28,81000,5183,0
5,33,"Arkansas","Crawford County",0.155332774329064,274.45,31,34219.3287037037,8164,0.012556598048826
5,35,"Arkansas","Crittenden County",0.163152781607754,100.44,13,104068.287037037,2858,0
5,37,"Arkansas","Cross County",0.159701043623499,60.78,17,NA,1422,0
5,39,"Arkansas","Dallas County",0.1687602986965,81.15,24,139234.375,5800,0.00856323293680925
5,41,"Arkansas","Desha County",0.206664783144265,53.65,22,211811.921296296,3170,0
5,43,"Arkansas","Drew County",0.210224876453,84.29,22,315498.842592593,5069,0.00808570851020821
5,45,"Arkansas","Faulkner County",0.1701013372915,215.85,80,82500,9344,0.0025420497394399
5,47,"Arkansas","Franklin County",0.159466373934499,193.41,19,106255.787037037,9327,0.0088949398683912
5,49,"Arkansas","Fulton County",0.161350559647181,76.3,19,13240.7407407407,4877,4.54153231300241e-05
5,51,"Arkansas","Garland County",0.186947147770501,282.92,42,122135.416666667,10395,0.00049800796812749
5,53,"Arkansas","Grant County",0.160505762081001,98.52,19,215046.875,5344,0.0504287554982894
5,55,"Arkansas","Greene County",0.150164546527365,84.19,26,69875,2327,0
5,57,"Arkansas","Hempstead County",0.186766832624,198.2,23,71938.0787037037,6020,0.0533722782793415
5,59,"Arkansas","Hot Spring County",0.1578062680365,197.38,38,132916.087962963,8841,0.065093572009764
5,61,"Arkansas","Howard County",0.150680340842,254.26,26,145891.203703704,6845,0.0155984117980714
5,63,"Arkansas","Independence County",0.199119797086001,156.45,41,223750,7233,0.000948628137769994
5,65,"Arkansas","Izard County",0.151364415047,134.68,26,3541.08796296296,5293,0.000482229830737329
5,67,"Arkansas","Jackson County",0.165229114917499,111.66,47,130296.296296296,6814,4.38346556787796e-05
5,69,"Arkansas","Jefferson County",0.231707268667499,190.81,27,121005.208333333,9921,0.000954639238752194
5,71,"Arkansas","Johnson County",0.1758097341725,167.6,40,57625,7490,0.000659657802514945
5,73,"Arkansas","Lafayette County",0.136564023521904,129.55,9,72115.162037037,4494,0.0169430239165246
5,75,"Arkansas","Lawrence County",0.153394350534,99.91,22,179776.041666667,2938,0.00033292114524874
5,77,"Arkansas","Lee County",0.15798092512861,27.13,7,68354.1666666667,907,0
5,79,"Arkansas","Lincoln County",0.144543078752,69.53,14,233557.87037037,2267,0
5,81,"Arkansas","Little River County",0.142255197729707,196.87,22,187386.574074074,4288,0.0492252503612176
5,83,"Arkansas","Logan County",0.1875727213515,103.17,28,96229.1666666667,6303,0.00350823084930028
5,85,"Arkansas","Lonoke County",0.2047020041725,230.87,57,78277.1990740741,10657,0.000875994253477697
5,87,"Arkansas","Madison County",0.2167291154415,195.13,17,40921.2962962963,5927,0.000201999798000202
5,89,"Arkansas","Marion County",0.166312521039767,105.7,25,70796.2962962963,4757,8.79662209711471e-05
5,91,"Arkansas","Miller County",0.159914460347529,212.22,24,198593.75,6937,0.153713756123395
5,93,"Arkansas","Mississippi County",0.23736705674004,119.2,45,364134.837962963,4350,0
5,95,"Arkansas","Monroe County",0.158288510201,84.57,21,248890.625,3327,0
5,97,"Arkansas","Montgomery County",0.203537277441999,136.1,10,131317.708333333,4473,0.000105492650678669
5,99,"Arkansas","Nevada County",0.156287922148499,128.2,19,295488.425925926,3831,0.0238612695825409
5,101,"Arkansas","Newton County",0.212900794652001,117.55,7,78885.9953703704,4245,3.41962178983004e-05
5,103,"Arkansas","Ouachita County",0.1861075752465,119.79,15,147479.74537037,5982,0.00389045693798154
5,105,"Arkansas","Perry County",0.143280306726001,95.99,20,108171.875,4455,0.000951951500576181
5,107,"Arkansas","Phillips County",0.184791602565165,25.26,23,74557.2916666667,1621,0
5,109,"Arkansas","Pike County",0.155507826482,196.36,24,139625,4958,0.00343894722362327
5,111,"Arkansas","Poinsett County",0.196659109295499,98.43,30,NA,2943,0
5,113,"Arkansas","Polk County",0.219182893453692,208.61,39,65250,5934,0.018680600914435
5,115,"Arkansas","Pope County",0.2136070167405,167.58,25,12109.375,7241,0.000847026935456548
5,117,"Arkansas","Prairie County",0.172427352574499,81.8,18,8000,4997,0.000124953142571536
5,119,"Arkansas","Pulaski County",0.205988355872501,611.55,83,205546.296296296,18652,0.000244456085210407
5,121,"Arkansas","Randolph County",0.170554217379693,98.04,14,134656.25,2414,0.000171659085057077
5,123,"Arkansas","St. Francis County",0.164357453174001,82.44,16,39759.837962963,1786,0
5,125,"Arkansas","Saline County",0.1860013725955,263.2,57,201646.990740741,9453,0.0225468280274416
5,127,"Arkansas","Scott County",0.229268960998033,97.82,5,111458.333333333,4415,0.00184686658736618
5,129,"Arkansas","Searcy County",0.1728892376895,104.69,15,10125,4317,0.000168343083203569
5,131,"Arkansas","Sebastian County",0.1402816213822,315.75,27,8000,11386,0.0333007862685647
5,133,"Arkansas","Sevier County",0.146901379012537,182.34,19,87733.7962962963,4400,0.0579288966385741
5,135,"Arkansas","Sharp County",0.157301256722049,94.06,19,212208.333333333,4201,0.00069612028958604
5,137,"Arkansas","Stone County",0.1575125132805,75.66,20,5213.54166666667,3680,9.22211463088486e-05
5,139,"Arkansas","Union County",0.264267657816253,154.2,41,208802.083333333,6077,0.0089626290378511
5,141,"Arkansas","Van Buren County",0.186524299393499,144.33,37,7344.3287037037,5575,0.000467053282995368
5,143,"Arkansas","Washington County",0.246504662166237,290.65,29,190750,8911,0.0588478459857679
5,145,"Arkansas","White County",0.267348839819498,251.25,70,164129.62962963,9946,0.00337573253395987
5,147,"Arkansas","Woodruff County",0.152274962162,48.14,50,356578.703703704,3793,0
5,149,"Arkansas","Yell County",0.242681985277501,161.07,27,115957.75462963,7617,0.00157214048410062
6,1,"California","Alameda County",0.199046906525583,0.75,0,NA,62,0.277736216054463
6,3,"California","Alpine County",0.198999180810456,1.75,NA,NA,NA,0.354480721157488
6,5,"California","Amador County",0.1619691737865,1,NA,NA,NA,0.794041089523101
6,7,"California","Butte County",0.455945588590001,7.25,10,NA,180,0.574281686358754
6,9,"California","Calaveras County",0.2762470217495,0.75,0,NA,NA,0.831659246389401
6,11,"California","Colusa County",0.312213027404,NA,0,NA,0,0.297145360297876
6,13,"California","Contra Costa County",0.201833713885392,1.5,1,NA,NA,0.1440991490936
6,15,"California","Del Norte County",0.284583237000346,0.75,2,NA,50,0.621430551705018
6,17,"California","El Dorado County",0.479625886185365,7.88,0,NA,62,0.802340231188384
6,19,"California","Fresno County",1.5711642788005,60.01,9,NA,986,0.23232238095907
6,21,"California","Glenn County",0.3601861684465,4.63,8,NA,0,0.353068500127323
6,23,"California","Humboldt County",0.996460853806378,4.75,2,NA,411,0.711209315375982
6,25,"California","Imperial County",1.12038661550244,10.75,2,NA,2441,0.00107412735004617
6,27,"California","Inyo County",2.66528151636126,2.5,0,NA,384,0.0308189305280768
6,29,"California","Kern County",2.0959725158835,29.16,1,NA,1534,0.263571906446785
6,31,"California","Kings County",0.3605880754255,23.27,4,NA,315,0.0776371137356415
6,33,"California","Lake County",0.358523544719499,1.5,NA,NA,NA,0.629648454044896
6,35,"California","Lassen County",1.30223271297538,12.26,NA,NA,456,0.517764621007507
6,37,"California","Los Angeles County",1.04037164887913,22.35,12,NA,2175,0.404602892423005
6,39,"California","Madera County",0.5660606273955,13.88,3,NA,168,0.423524489422348
6,41,"California","Marin County",0.144648966222639,1,1,NA,60,0.553745085867991
6,43,"California","Mariposa County",0.3865307527745,5.26,0,NA,235,0.650432775533757
6,45,"California","Mendocino County",0.952374419247408,3.75,1,NA,0,0.614071196892644
6,47,"California","Merced County",0.520049000228001,7,4,NA,315,0.382883075128391
6,49,"California","Modoc County",1.17564164136714,6.5,NA,NA,312,0.510526597739326
6,51,"California","Mono County",0.831218542619087,6.63,NA,NA,182,0.29339110423933
6,53,"California","Monterey County",0.86070710484613,2.63,2,NA,NA,0.398619624089512
6,55,"California","Napa County",0.210939413858501,4.25,NA,NA,50,0.547627541919372
6,57,"California","Nevada County",0.263450095487288,13.63,1,NA,165,0.65299693659326
6,59,"California","Orange County",0.20125268918246,10,19,NA,1197,0.307310199048793
6,61,"California","Placer County",0.404984484969748,3.75,0,NA,0,0.532453904961774
6,63,"California","Plumas County",0.713889908975498,14.2,NA,NA,NA,0.540096066859088
6,65,"California","Riverside County",1.84021760011648,21.15,8,NA,4615,0.276585001079281
6,67,"California","Sacramento County",0.265764131458,5.5,4,NA,403,0.191812236346649
6,69,"California","San Benito County",0.362765247339998,1,2,NA,NA,0.570937057275855
6,71,"California","San Bernardino County",5.13219349070353,51.12,12,NA,5515,0.0690652014139222
6,73,"California","San Diego County",1.0648498385104,36.78,8,NA,1785,0.571572167334576
6,75,"California","San Francisco County",0.0130358274380541,NA,NA,NA,123,0
6,77,"California","San Joaquin County",0.378621859105501,2.75,3,NA,93,0.121708578421697
6,79,"California","San Luis Obispo County",0.853982487563483,3,0,NA,317,0.448326375775845
6,81,"California","San Mateo County",0.120835704009886,NA,2,NA,226,0.398955453149002
6,83,"California","Santa Barbara County",0.700942988040903,4.88,1,NA,461,0.372460935501366
6,85,"California","Santa Clara County",0.342180906011771,1,5,NA,70,0.456207142702633
6,87,"California","Santa Cruz County",0.117239005460124,6,2,NA,NA,0.569322834645669
6,89,"California","Shasta County",1.06269163300551,17.88,NA,NA,0,0.504755772776494
6,91,"California","Sierra County",0.261281445560579,4.88,NA,NA,70,0.563807072450204
6,93,"California","Siskiyou County",1.77539539015578,15.13,1,NA,303,0.495046958557632
6,95,"California","Solano County",0.237307090384145,4,0,NA,64,0.123043354520444
6,97,"California","Sonoma County",0.425942951387863,0.75,12,NA,NA,0.597609068562435
6,99,"California","Stanislaus County",0.399936364050501,2.63,8,NA,52,0.339769200750748
6,101,"California","Sutter County",0.1639563337445,NA,1,NA,0,0.0642235794928743
6,103,"California","Tehama County",0.8108767538915,12.5,5,NA,50,0.728665893932772
6,105,"California","Trinity County",0.884555680508499,13,NA,NA,70,0.58046400617739
6,107,"California","Tulare County",1.2561345468905,16.63,1,NA,973,0.321916373874398
6,109,"California","Tuolumne County",0.604455898524501,0.88,NA,NA,55,0.460585432266848
6,111,"California","Ventura County",0.471969931400908,6.25,0,NA,102,0.350208349117357
6,113,"California","Yolo County",0.274396715037,1,0,NA,135,0.180787852112676
6,115,"California","Yuba County",0.174090300939,NA,2,NA,154,0.54726215968186
8,1,"Colorado","Adams County",0.322787800424,405.39,74,NA,3486,0
8,3,"Colorado","Alamosa County",0.19102183698,12.76,7,NA,481,0.0058780022577757
8,5,"Colorado","Arapahoe County",0.218905835453,484.04,29,NA,4059,0
8,7,"Colorado","Archuleta County",0.356110191270069,4.38,0,NA,609,0.279092476782116
8,9,"Colorado","Baca County",0.673409806556099,366.02,31,NA,2690,0.0126782884310618
8,11,"Colorado","Bent County",0.409206683786001,157.41,18,NA,1750,0.00505871395438026
8,13,"Colorado","Boulder County",0.2025518381745,222.97,10,NA,2814,0.0510929481087246
8,14,"Colorado","Broomfield County",0.00917243520750025,15.38,NA,NA,156,0.000838222967309304
8,15,"Colorado","Chaffee County",0.272450862203,7.38,0,NA,185,0.000249521749979207
8,17,"Colorado","Cheyenne County",0.478740674663129,429.09,20,NA,6706,0
8,19,"Colorado","Clear Creek County",0.10774865915,16.63,0,NA,63,0.021875
8,21,"Colorado","Conejos County",0.339407561825793,8.63,2,NA,NA,0.0180260691398928
8,23,"Colorado","Costilla County",0.323834191967752,6.38,4,NA,NA,0.0245888515290835
8,25,"Colorado","Crowley County",0.213317879740502,84.68,-1,NA,555,0.000105589187667183
8,27,"Colorado","Custer County",0.1968114551845,78.58,3,NA,122,0.0410818212940774
8,29,"Colorado","Delta County",0.308746755507998,4.01,1,NA,465,0.146644451522799
8,31,"Colorado","Denver County",0.0421050069665008,214.77,12,NA,3490,0.000182083029861617
8,33,"Colorado","Dolores County",0.282598799456841,1.88,NA,NA,191,0.252314265369095
8,35,"Colorado","Douglas County",0.228056313122,289.23,28,NA,1472,0.0782329960933588
8,37,"Colorado","Eagle County",0.4598485975695,1.5,1,NA,1756,0.0492389586625634
8,39,"Colorado","Elbert County",0.500374878379499,457.85,29,NA,2639,0.00219028062970568
8,41,"Colorado","El Paso County",0.572307447860502,1202.14,39,NA,5308,0.0199265308279817
8,43,"Colorado","Fremont County",0.410080218956999,79.21,4,NA,346,0.0237466050062394
8,45,"Colorado","Garfield County",0.80276307890503,16.15,NA,NA,1228,0.255635445931146
8,47,"Colorado","Gilpin County",0.0409614303205002,15,NA,NA,NA,0.0374601985390523
8,49,"Colorado","Grand County",0.511417853980001,2.25,1,NA,298,0.0054656327636829
8,51,"Colorado","Gunnison County",0.873958289420502,1.63,NA,NA,501,0.0452849740932643
8,53,"Colorado","Hinsdale County",0.2977709992745,NA,NA,NA,127,0.102108795832498
8,55,"Colorado","Huerfano County",0.4214831211365,82.56,3,NA,0,0.0132332155477032
8,57,"Colorado","Jackson County",0.447139032454879,NA,1,NA,213,0.00760469477047018
8,59,"Colorado","Jefferson County",0.210174374647999,375.84,7,NA,1683,0.0751382019202793
8,61,"Colorado","Kiowa County",0.477091434617986,310.61,25,NA,2315,0.00018916107065166
8,63,"Colorado","Kit Carson County",0.584635518357901,712.43,38,NA,8932,0
8,65,"Colorado","Lake County",0.103595099540501,1.5,NA,NA,NA,0
8,67,"Colorado","La Plata County",0.447324792837026,19.01,3,NA,663,0.21152858964381
8,69,"Colorado","Larimer County",0.726378374156666,498.71,18,NA,5098,0.0290914531832805
8,71,"Colorado","Las Animas County",1.25693094310995,253.48,9,NA,1514,0.0156113665841293
8,73,"Colorado","Lincoln County",0.696393012165998,480.87,40,NA,4089,4.35378888477698e-05
8,75,"Colorado","Logan County",0.509337628746306,487.61,32,NA,5584,0
8,77,"Colorado","Mesa County",0.900118823060013,44.04,1,NA,4938,0.281292388053414
8,79,"Colorado","Mineral County",0.232220173546501,NA,2,NA,NA,0.0910256410256411
8,81,"Colorado","Moffat County",1.30951387247097,15.28,2,NA,841,0.178598516271242
8,83,"Colorado","Montezuma County",0.537380591795576,20.51,3,NA,1025,0.310081796488131
8,85,"Colorado","Montrose County",0.598970259184352,10.51,3,NA,832,0.266295138758143
8,87,"Colorado","Morgan County",0.354773528056501,487.23,36,NA,5611,0
8,89,"Colorado","Otero County",0.337102588914499,205.73,15,NA,4343,0.00237145390070922
8,91,"Colorado","Ouray County",0.144333778985,2.51,NA,NA,NA,0.120884827084848
8,93,"Colorado","Park County",0.596506906052501,29.76,5,NA,123,0.00725587789757755
8,95,"Colorado","Phillips County",0.189559334927147,197.72,14,NA,3621,0
8,97,"Colorado","Pitkin County",0.262850759755499,5,2,NA,414,0.0609953703703704
8,99,"Colorado","Prowers County",0.436583458158696,305.78,30,NA,4245,0.0040398507309391
8,101,"Colorado","Pueblo County",0.638799643925999,425.79,9,NA,5255,0.00423569718871732
8,103,"Colorado","Rio Blanco County",0.879873736203468,11,2,NA,1244,0.465676726208674
8,105,"Colorado","Rio Grande County",0.241041725304001,21.26,0,NA,0,0.0111680138211884
8,107,"Colorado","Routt County",0.651541670006402,20.51,1,NA,950,0.148766517729822
8,109,"Colorado","Saguache County",0.843033187517997,34.4,2,NA,176,0.0165228354286526
8,111,"Colorado","San Juan County",0.102823523015,NA,NA,NA,NA,0.166304190227635
8,113,"Colorado","San Miguel County",0.342378859811185,4,NA,NA,126,0.169265714410519
8,115,"Colorado","Sedgwick County",0.151975063559768,202.72,15,NA,1770,0
8,117,"Colorado","Summit County",0.168276777636,1,NA,NA,0,0.000636276871335727
8,119,"Colorado","Teller County",0.150272264093501,85.66,6,NA,165,0.0815113350125945
8,121,"Colorado","Washington County",0.689049246586502,630.76,38,NA,6955,0
8,123,"Colorado","Weld County",1.10624356553824,863.72,109,NA,9631,0.000791687976851884
8,125,"Colorado","Yuma County",0.647076654463567,851.13,44,NA,9219,0
9,1,"Connecticut","Fairfield County",0.182117374839764,64.38,14,472754.62962963,12391,0.0228055077452668
9,3,"Connecticut","Hartford County",0.210607657141936,129.59,20,3180057.87037037,11355,0
