"","state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
"3.11211",2,185,"Alaska","North Slope Borough",3,9467,3205,99,5136,442,104,9216,251
"3.11344",2,188,"Alaska","Northwest Arctic Borough",3,7531,857,43,6125,45,12,7469,62
"3.11477",2,195,"Alaska","Petersburg Borough",3,3209,2599,15,243,97,6,3088,121
"3.11610",2,198,"Alaska","Prince of Wales-Hyder Census Area",3,6214,2990,19,2618,23,22,6068,146
"3.11743",2,220,"Alaska","Sitka City and Borough",3,8897,5885,49,1547,547,29,8447,450
"3.11876",2,230,"Alaska","Skagway Municipality",3,965,886,1,35,5,1,943,22
"3.12009",2,240,"Alaska","Southeast Fairbanks Census Area",3,7053,5743,77,814,66,27,6810,243
"3.12142",2,261,"Alaska","Valdez-Cordova Census Area",3,9678,7224,51,1328,368,55,9320,358
"3.12275",2,270,"Alaska","Wade Hampton Census Area",3,7473,223,2,7079,19,0,7457,16
"3.12408",2,275,"Alaska","Wrangell City and Borough",3,2366,1725,4,378,35,1,2329,37
"3.12541",2,282,"Alaska","Yakutat City and Borough",3,661,280,3,238,27,11,643,18
"3.12674",2,290,"Alaska","Yukon-Koyukuk Census Area",3,5589,1243,10,3996,13,7,5519,70
"3.12807",4,1,"Arizona","Apache County",3,71749,17633,207,52464,226,26,67564,4185
"3.12940",4,3,"Arizona","Cochise County",3,131868,116713,5861,2173,2700,493,88960,42908
"3.13073",4,5,"Arizona","Coconino County",3,134603,89592,1787,37541,2046,251,116372,18231
"3.13206",4,7,"Arizona","Gila County",3,53534,44044,280,8132,290,49,43886,9648
"3.13339",4,9,"Arizona","Graham County",3,37139,30048,753,5461,220,71,25807,11332
"3.13472",4,11,"Arizona","Greenlee County",3,8343,7755,100,262,62,8,4335,4008
"3.13605",4,12,"Arizona","La Paz County",3,20446,16121,164,3430,135,15,15630,4816
"3.13738",4,13,"Arizona","Maricopa County",3,3823609,3272290,206392,99841,141399,10049,2691265,1132344
"3.13871",4,15,"Arizona","Mohave County",3,200380,186122,2052,5360,2255,437,170646,29734
"3.14004",4,17,"Arizona","Navajo County",3,107649,56620,1022,47248,623,95,95973,11676
"3.14137",4,19,"Arizona","Pima County",3,981935,847455,38357,40536,27703,2123,641722,340213
"3.14270",4,21,"Arizona","Pinal County",3,385738,321892,19119,25509,7444,1814,275579,110159
"3.14403",4,23,"Arizona","Santa Cruz County",3,47384,46012,260,517,323,39,8143,39241
"3.14536",4,25,"Arizona","Yavapai County",3,210517,198658,1426,4125,1873,269,181880,28637
"3.14669",4,27,"Arizona","Yuma County",3,197105,181388,4759,4040,2829,471,79214,117891
"3.14802",5,1,"Arkansas","Arkansas County",3,19009,13938,4693,42,103,2,18485,524
"3.14935",5,3,"Arkansas","Ashley County",3,21835,15760,5670,131,46,16,20770,1065
"3.15068",5,5,"Arkansas","Baxter County",3,41551,40496,70,248,178,18,40863,688
"3.15201",5,7,"Arkansas","Benton County",3,222923,202949,3499,4305,6782,783,188290,34633
"3.15334",5,9,"Arkansas","Boone County",3,36888,35733,88,266,168,21,36208,680
"3.15467",5,11,"Arkansas","Bradley County",3,11489,7934,3210,168,41,1,9985,1504
"3.15600",5,13,"Arkansas","Calhoun County",3,5330,4054,1187,20,11,1,5173,157
"3.15733",5,15,"Arkansas","Carroll County",3,27560,26399,130,282,180,81,24023,3537
"3.15866",5,17,"Arkansas","Chicot County",3,11794,5188,6433,37,57,4,11244,550
"3.15999",5,19,"Arkansas","Clark County",3,22950,16943,5433,128,140,5,22025,925
"3.16132",5,21,"Arkansas","Clay County",3,16057,15754,58,47,24,1,15833,224
"3.16265",5,23,"Arkansas","Cleburne County",3,25989,25340,85,158,55,7,25463,526
"3.16398",5,25,"Arkansas","Cleveland County",3,8690,7535,1063,22,9,1,8539,151
"3.16531",5,27,"Arkansas","Columbia County",3,24729,15031,9200,86,183,6,24177,552
"3.16664",5,29,"Arkansas","Conway County",3,21248,18207,2393,170,84,3,20501,747
"3.16797",5,31,"Arkansas","Craighead County",3,96726,80796,12830,489,1101,43,92434,4292
"3.16930",5,33,"Arkansas","Crawford County",3,61987,57142,809,1498,934,31,58197,3790
"3.17063",5,35,"Arkansas","Crittenden County",3,50954,23776,26229,152,300,17,49935,1019
"3.17196",5,37,"Arkansas","Cross County",3,17841,13577,3971,47,79,3,17570,271
"3.17329",5,39,"Arkansas","Dallas County",3,8061,4541,3385,34,11,1,7874,187
"3.17462",5,41,"Arkansas","Desha County",3,12970,6494,6283,41,44,16,12393,577
"3.17595",5,43,"Arkansas","Drew County",3,18673,13075,5243,57,108,5,18208,465
"3.17728",5,45,"Arkansas","Faulkner County",3,114039,98039,11759,774,1317,63,109577,4462
"3.17861",5,47,"Arkansas","Franklin County",3,18121,17346,138,183,163,24,17743,378
"3.17994",5,49,"Arkansas","Fulton County",3,12212,11863,48,77,26,1,12105,107
"3.18127",5,51,"Arkansas","Garland County",3,96156,84975,7722,661,719,57,91515,4641
"3.18260",5,53,"Arkansas","Grant County",3,17887,17159,405,77,49,5,17489,398
"3.18393",5,55,"Arkansas","Greene County",3,42193,41085,254,215,117,9,41298,895
"3.18526",5,57,"Arkansas","Hempstead County",3,22566,15234,6704,132,100,33,19833,2733
"3.18659",5,59,"Arkansas","Hot Spring County",3,33145,28672,3669,159,105,16,32202,943
"3.18792",5,61,"Arkansas","Howard County",3,13827,10557,2886,115,93,20,12466,1361
"3.18925",5,63,"Arkansas","Independence County",3,36795,34962,754,245,298,69,34655,2140
"3.19058",5,65,"Arkansas","Izard County",3,13681,13194,176,103,42,2,13469,212
"3.19191",5,67,"Arkansas","Jackson County",3,18048,14595,3039,98,59,16,17609,439
"3.19324",5,69,"Arkansas","Jefferson County",3,77311,32856,42739,243,629,13,76074,1237
"3.19457",5,71,"Arkansas","Johnson County",3,25536,24213,446,284,189,27,22415,3121
"3.19590",5,73,"Arkansas","Lafayette County",3,7633,4664,2858,29,26,0,7500,133
"3.19723",5,75,"Arkansas","Lawrence County",3,17499,17076,142,67,26,4,17333,166
"3.19856",5,77,"Arkansas","Lee County",3,10376,4419,5744,50,42,2,10202,174
"3.19989",5,79,"Arkansas","Lincoln County",3,14075,9659,4184,51,38,1,13617,458
"3.20122",5,81,"Arkansas","Little River County",3,13133,10090,2536,207,40,3,12780,353
"3.20255",5,83,"Arkansas","Logan County",3,22319,21028,312,249,361,4,21809,510
"3.20388",5,85,"Arkansas","Lonoke County",3,68701,62468,4116,411,564,61,66397,2304
"3.20521",5,87,"Arkansas","Madison County",3,15692,15103,41,232,86,10,14932,760
"3.20654",5,89,"Arkansas","Marion County",3,16645,16191,35,117,38,8,16346,299
"3.20787",5,91,"Arkansas","Miller County",3,43526,31541,10793,312,208,21,42474,1052
"3.20920",5,93,"Arkansas","Mississippi County",3,46371,29503,15883,177,257,10,44697,1674
"3.21053",5,95,"Arkansas","Monroe County",3,8122,4631,3322,36,38,0,7983,139
"3.21186",5,97,"Arkansas","Montgomery County",3,9485,9097,39,93,56,2,9124,361
"3.21319",5,99,"Arkansas","Nevada County",3,8967,6044,2750,39,25,1,8749,218
"3.21452",5,101,"Arkansas","Newton County",3,8325,8015,9,93,25,1,8182,143
"3.21585",5,103,"Arkansas","Ouachita County",3,26109,15045,10474,92,97,9,25687,422
"3.21718",5,105,"Arkansas","Perry County",3,10447,10005,204,67,18,2,10187,260
"3.21851",5,107,"Arkansas","Phillips County",3,21686,7672,13709,56,64,1,21399,287
"3.21984",5,109,"Arkansas","Pike County",3,11277,10588,348,99,77,1,10551,726
"3.22117",5,111,"Arkansas","Poinsett County",3,24544,22332,1800,60,43,9,23996,548
"3.22250",5,113,"Arkansas","Polk County",3,20679,19693,76,376,101,6,19492,1187
"3.22383",5,115,"Arkansas","Pope County",3,62110,57788,1832,592,640,46,57863,4247
"3.22516",5,117,"Arkansas","Prairie County",3,8701,7529,1059,27,6,3,8623,78
"3.22649",5,119,"Arkansas","Pulaski County",3,383600,230965,135389,2159,7735,369,361471,22129
"3.22782",5,121,"Arkansas","Randolph County",3,17950,17464,142,95,33,5,17664,286
"3.22915",5,123,"Arkansas","St. Francis County",3,28172,12820,14692,184,140,11,27025,1147
"3.23048",5,125,"Arkansas","Saline County",3,107631,99459,5176,647,966,36,103516,4115
"3.23181",5,127,"Arkansas","Scott County",3,11267,10336,54,225,412,3,10462,805
"3.23314",5,129,"Arkansas","Searcy County",3,8189,7895,12,96,11,2,8061,128
"3.23447",5,131,"Arkansas","Sebastian County",3,125824,105301,8279,2822,5279,237,110223,15601
"3.23580",5,133,"Arkansas","Sevier County",3,17138,15362,769,568,72,14,11857,5281
"3.23713",5,135,"Arkansas","Sharp County",3,17281,16687,100,170,50,2,16987,294
"3.23846",5,137,"Arkansas","Stone County",3,12416,12083,11,89,45,4,12254,162
"3.23979",5,139,"Arkansas","Union County",3,41580,26922,13754,171,228,16,40116,1464
"3.24112",5,141,"Arkansas","Van Buren County",3,17296,16722,72,131,58,2,16820,476
"3.24245",5,143,"Arkansas","Washington County",3,204019,180724,6386,2920,4709,4404,172318,31701
"3.24378",5,145,"Arkansas","White County",3,77339,71901,3129,490,453,41,74441,2898
"3.24511",5,147,"Arkansas","Woodruff County",3,7243,5106,1996,19,15,5,7156,87
"3.24644",5,149,"Arkansas","Yell County",3,22159,21029,379,171,316,15,17924,4235
"3.24777",6,1,"California","Alameda County",3,1513625,799926,198822,17772,406640,14806,1173025,340600
"3.24910",6,3,"California","Alpine County",3,1158,878,0,245,7,0,1078,80
"3.25043",6,5,"California","Amador County",3,37860,34371,971,808,458,92,33144,4716
"3.25176",6,7,"California","Butte County",3,219924,192306,3723,5191,9403,577,188635,31289
"3.25309",6,9,"California","Calaveras County",3,45475,42082,403,815,623,79,40759,4716
"3.25442",6,11,"California","Colusa County",3,21459,19770,236,589,338,112,9608,11851
"3.25575",6,13,"California","Contra Costa County",3,1052894,726384,102555,10314,158080,5909,795943,256951
"3.25708",6,15,"California","Del Norte County",3,28580,22757,1070,2468,1004,39,23466,5114
"3.25841",6,17,"California","El Dorado County",3,181163,164393,1510,2466,6541,358,159208,21955
"3.25974",6,19,"California","Fresno County",3,932642,724941,55532,28066,95902,2328,462643,469999
"3.26107",6,21,"California","Glenn County",3,28101,25378,296,844,793,42,17515,10586
"3.26240",6,23,"California","Humboldt County",3,135022,114857,1659,8232,3168,394,121647,13375
"3.26373",6,25,"California","Imperial County",3,174779,156428,6549,4540,4001,309,33972,140807
"3.26506",6,27,"California","Inyo County",3,18532,15300,142,2275,259,23,14920,3612
"3.26639",6,29,"California","Kern County",3,841762,699608,53793,22528,39523,2196,426696,415066
"3.26772",6,31,"California","Kings County",3,152418,124044,11879,4395,6374,444,74546,77872
"3.26905",6,33,"California","Lake County",3,64757,57233,1313,2610,825,140,53588,11169
"3.27038",6,35,"California","Lassen County",3,34841,28611,3053,1419,437,190,28692,6149
"3.27171",6,37,"California","Los Angeles County",3,9827231,7061077,919985,145947,1397248,36420,5130113,4697118
"3.27304",6,39,"California","Madera County",3,151154,130470,6517,6892,3362,349,69822,81332
"3.27437",6,41,"California","Marin County",3,252884,218692,7553,2853,14393,648,213675,39209
"3.27570",6,43,"California","Mariposa County",3,18261,16635,145,579,229,28,16591,1670
"3.27703",6,45,"California","Mendocino County",3,87761,76623,803,5363,1588,190,68151,19610
"3.27836",6,47,"California","Merced County",3,256731,210973,11227,6135,20407,895,115453,141278
"3.27969",6,49,"California","Modoc County",3,9708,8727,89,490,84,22,8351,1357
"3.28102",6,51,"California","Mono County",3,14249,13298,62,361,206,13,10462,3787
"3.28235",6,53,"California","Monterey County",3,416364,343601,15226,11267,28521,2522,185294,231070
"3.28368",6,55,"California","Napa County",3,136829,117871,2960,1757,9747,519,92606,44223
"3.28501",6,57,"California","Nevada County",3,98752,92960,427,1227,1221,122,90271,8481
"3.28634",6,59,"California","Orange County",3,3018080,2269839,59506,32624,553153,11509,2001355,1016725
"3.28767",6,61,"California","Placer County",3,350214,306193,5145,3817,21410,882,305106,45108
"3.28900",6,63,"California","Plumas County",3,19918,18259,192,623,147,18,18310,1608
"3.29033",6,65,"California","Riverside County",3,2202553,1788005,153660,40430,141710,9216,1198455,1004098
"3.29166",6,67,"California","Sacramento County",3,1421838,936065,156012,22030,212074,16063,1114327,307511
"3.29299",6,69,"California","San Benito County",3,55532,49376,650,1726,1783,177,24129,31403
"3.29432",6,71,"California","San Bernardino County",3,2041689,1589968,196996,41113,138907,9112,1034587,1007102
"3.29565",6,73,"California","San Diego County",3,3104543,2395320,172890,41423,351997,18474,2107983,996560
"3.29698",6,75,"California","San Francisco County",3,805825,439645,51251,6962,272431,3787,683716,122109
"3.29831",6,77,"California","San Joaquin County",3,687513,472584,56712,13579,106627,4821,419681,267832
"3.29964",6,79,"California","San Luis Obispo County",3,269860,241809,6170,3617,9425,515,213736,56124
"3.30097",6,81,"California","San Mateo County",3,719951,466098,22711,6394,183799,11434,536893,183058
"3.30230",6,83,"California","Santa Barbara County",3,424331,367110,9999,9368,22720,1062,241941,182390
"3.30363",6,85,"California","Santa Clara County",3,1786930,1046930,51813,24951,586117,8756,1306442,480488
"3.30496",6,87,"California","Santa Cruz County",3,263213,232511,3553,4511,12356,464,178647,84566
"3.30629",6,89,"California","Shasta County",3,177286,158232,1614,5495,4574,312,162324,14962
"3.30762",6,91,"California","Sierra County",3,3221,3083,6,50,12,3,2947,274
"3.30895",6,93,"California","Siskiyou County",3,44971,39572,602,1978,561,112,40305,4666
"3.31028",6,95,"California","Solano County",3,414101,251362,63469,5002,63215,4160,314239,99862
"3.31161",6,97,"California","Sonoma County",3,484666,426661,8802,10609,19451,1803,363716,120950
"3.31294",6,99,"California","Stanislaus County",3,515283,436717,16864,9591,28677,4326,298754,216529
"3.31427",6,101,"California","Sutter County",3,94814,71756,2217,2147,14507,373,67423,27391
"3.31560",6,103,"California","Tehama County",3,63638,58122,475,2092,751,91,49630,14008
"3.31693",6,105,"California","Trinity County",3,13755,12220,61,710,101,18,12786,969
"3.31826",6,107,"California","Tulare County",3,443292,393038,9543,12217,17330,974,173962,269330
"3.31959",6,109,"California","Tuolumne County",3,55168,50358,1198,1190,618,85,49233,5935
"3.32092",6,111,"California","Ventura County",3,825353,705496,18026,14868,58844,2251,492083,333270
"3.32225",6,113,"California","Yolo County",3,201167,154224,5798,3706,27059,1209,139946,61221
"3.32358",6,115,"California","Yuba County",3,72390,57684,2708,2184,5228,343,54195,18195
"3.32491",8,1,"Colorado","Adams County",3,443668,389424,15190,9407,16956,894,274825,168843
"3.32624",8,3,"Colorado","Alamosa County",3,15901,14151,253,812,216,35,8646,7255
"3.32757",8,5,"Colorado","Arapahoe County",3,574577,455624,61119,6406,30201,1391,468669,105908
"3.32890",8,7,"Colorado","Archuleta County",3,12065,11326,36,342,114,7,9919,2146
"3.33023",8,9,"Colorado","Baca County",3,3787,3633,24,59,6,0,3441,346
"3.33156",8,11,"Colorado","Bent County",3,6509,5651,505,194,67,5,4526,1983
"3.33289",8,13,"Colorado","Boulder County",3,295967,270933,2908,2445,12544,237,256459,39508
"3.33422",8,14,"Colorado","Broomfield County",3,56266,50337,635,428,3503,47,49960,6306
"3.33555",8,15,"Colorado","Chaffee County",3,17803,16959,280,225,118,14,16124,1679
"3.33688",8,17,"Colorado","Cheyenne County",3,1835,1787,7,15,11,1,1658,177
"3.33821",8,19,"Colorado","Clear Creek County",3,9105,8776,60,84,50,3,8665,440
"3.33954",8,21,"Colorado","Conejos County",3,8277,7757,46,275,38,12,3652,4625
"3.34087",8,23,"Colorado","Costilla County",3,3528,3172,48,191,39,10,1202,2326
"3.34220",8,25,"Colorado","Crowley County",3,5845,4968,559,178,62,0,4149,1696
"3.34353",8,27,"Colorado","Custer County",3,4276,4115,44,31,16,0,4071,205
"3.34486",8,29,"Colorado","Delta County",3,30870,29568,178,396,177,22,26511,4359
"3.34619",8,31,"Colorado","Denver County",3,603365,486072,64709,12561,21539,834,411760,191605
"3.34752",8,33,"Colorado","Dolores County",3,2062,1950,4,60,2,2,1982,80
"3.34885",8,35,"Colorado","Douglas County",3,286920,264160,3710,1390,11043,257,265283,21637
"3.35018",8,37,"Colorado","Eagle County",3,52099,49879,445,596,570,37,36408,15691
"3.35151",8,39,"Colorado","Elbert County",3,23107,22166,173,165,181,28,21882,1225
"3.35284",8,41,"Colorado","El Paso County",3,626895,529315,41561,8004,18019,2516,531958,94937
"3.35417",8,43,"Colorado","Fremont County",3,46885,43133,1851,865,299,26,41079,5806
"3.35550",8,45,"Colorado","Garfield County",3,56077,53047,570,1010,425,77,40209,15868
